            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:44:03 2007


PLG1  UWI: NO 6608/10-B-2 H          
PLG2  Common: 6608/10-B-2 H                                                                   
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      25.0000       0.0000       0.0000
PLG4      401.0000     401.0000    -376.0000       0.0000       0.0000
PLG4      430.0000     429.9999    -404.9999      -0.0332      -0.0312
PLG4      460.0000     459.9998    -434.9998      -0.0858      -0.0411
PLG4      490.0000     489.9998    -464.9998      -0.0752      -0.0455
PLG4      520.0000     519.9996    -494.9996      -0.0426      -0.1322
PLG4      550.0000     549.9991    -524.9991      -0.0611      -0.3000
PLG4      580.0000     579.9978    -554.9978      -0.0588      -0.5709
PLG4      610.0000     609.9931    -584.9931       0.2232      -0.9982
PLG4      640.0000     639.9795    -614.9795       0.7795      -1.7020
PLG4      670.0000     669.9468    -644.9468       1.3977      -2.9409
PLG4      700.0000     699.8763    -674.8763       2.2591      -4.7968
PLG4      730.0000     729.7789    -704.7789       3.4594      -6.8911
PLG4      760.0000     759.6914    -734.6914       4.8041      -8.7396
PLG4      790.0000     789.6295    -764.6295       6.1873     -10.0686
PLG4      820.0000     819.5907    -794.5907       7.4935     -10.8399
PLG4      850.0000     849.5682    -824.5682       8.6043     -11.1522
PLG4      880.0000     879.5538    -854.5538       9.5255     -11.0980
PLG4      910.0000     909.5430    -884.5430      10.2541     -10.7599
PLG4      940.0000     939.5347    -914.5347      10.7242     -10.2413
PLG4      970.0000     969.5279    -944.5279      10.9168      -9.6375
PLG4     1000.0000     999.5223    -974.5223      10.9144      -9.0628
PLG4     1030.0000    1029.5199   -1004.5199      10.7641      -8.7270
PLG4     1060.0000    1059.5187   -1034.5187      10.5169      -8.7726
PLG4     1090.0000    1089.5156   -1064.5156      10.3817      -9.1641
PLG4     1120.0000    1119.5103   -1094.5103      10.4005      -9.7286
PLG4     1150.0000    1149.5042   -1124.5042      10.4472     -10.3289
PLG4     1180.0000    1179.4979   -1154.4979      10.6038     -10.9155
PLG4     1210.0000    1209.4922   -1184.4922      11.0045     -11.3288
PLG4     1240.0000    1239.4867   -1214.4867      11.5506     -11.4988
PLG4     1270.0000    1269.4797   -1244.4797      12.1953     -11.4880
PLG4     1300.0000    1299.4696   -1274.4696      12.9634     -11.3569
PLG4     1330.0000    1329.4574   -1304.4574      13.8095     -11.2495
PLG4     1360.0000    1359.4427   -1334.4427      14.7430     -11.2078
PLG4     1390.0000    1389.4260   -1364.4260      15.7445     -11.2086
PLG4     1420.0000    1419.4084   -1394.4084      16.7690     -11.2648
PLG4     1450.0000    1449.3911   -1424.3911      17.7773     -11.4052
PLG4     1480.0000    1479.3744   -1454.3744      18.7559     -11.6228
PLG4     1510.0000    1509.3589   -1484.3589      19.6957     -11.8338
PLG4     1540.0000    1539.3444   -1514.3444      20.6051     -12.0483
PLG4     1570.0000    1569.3301   -1544.3301      21.5004     -12.2768
PLG4     1600.0000    1599.3169   -1574.3169      22.3685     -12.4552
PLG4     1630.0000    1629.3043   -1604.3043      23.2231     -12.5971
PLG4     1660.0000    1659.2920   -1634.2920      24.0701     -12.7529
PLG4     1690.0000    1689.2804   -1664.2804      24.8915     -12.8861
PLG4     1720.0000    1719.2695   -1694.2695      25.6921     -13.0017
PLG4     1750.0000    1749.2584   -1724.2584      26.4908     -13.1668
PLG4     1780.0000    1779.2476   -1754.2476      27.2703     -13.3823
PLG4     1810.0000    1809.2388   -1784.2388      27.9499     -13.6364
PLG4     1840.0000    1839.2299   -1814.2299      28.5960     -13.9704
PLG4     1870.0000    1869.2198   -1844.2198      29.2783     -14.3375
PLG4     1900.0000    1899.2114   -1874.2114      29.9084     -14.6636
PLG4     1930.0000    1929.2036   -1904.2036      30.4932     -15.0142
PLG4     1960.0000    1959.1976   -1934.1976      30.9935     -15.3341
PLG4     1990.0000    1989.1946   -1964.1946      31.3597     -15.5480
PLG4     2020.0000    2019.1931   -1994.1931      31.5889     -15.7282
PLG4     2050.0000    2049.1921   -2024.1921      31.5548     -15.9519
PLG4     2080.0000    2079.1765   -2054.1765      30.9059     -16.5876
PLG4     2110.0000    2109.1001   -2084.1001      29.5723     -18.2152
PLG4     2140.0000    2138.8699   -2113.8699      27.7668     -21.4065
PLG4     2170.0000    2168.3848   -2143.3848      25.2236     -26.1169
PLG4     2199.0000    2196.5649   -2171.5649      21.8277     -32.0374
PLG4     2210.0000    2207.1389   -2182.1389      20.3553     -34.6866
PLG4     2220.0000    2216.6987   -2191.6987      18.9897     -37.2829
PLG4     2230.0000    2226.2185   -2201.2185      17.6183     -40.0204
