            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:46:05 2007


PLG1  UWI: NO 6608/10-B-4 CH         
PLG2  Common: 6608/10-B-4 CH                                                                  
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      395.6999     395.6999    -371.6999       0.0000       0.0000
PLG4      395.7000     395.7000    -371.7000       0.0000       0.0000
PLG4      423.0000     422.9999    -398.9999       0.0321      -0.0319
PLG4      453.0000     452.9997    -428.9997      -0.0093      -0.1122
PLG4      483.0000     482.9982    -458.9982      -0.2448      -0.2898
PLG4      513.0000     512.9945    -488.9945      -0.6682      -0.4867
PLG4      543.0000     542.9892    -518.9892      -1.2017      -0.6679
PLG4      573.0000     572.9842    -548.9842      -1.7130      -0.8607
PLG4      603.0000     602.9793    -578.9793      -2.2290      -1.0172
PLG4      633.0000     632.9735    -608.9735      -2.7942      -1.1828
PLG4      663.0000     662.9683    -638.9683      -3.3299      -1.3466
PLG4      693.0000     692.9631    -668.9631      -3.8695      -1.4837
PLG4      723.0000     722.9482    -698.9482      -4.7903      -1.5414
PLG4      753.0000     752.9061    -728.9061      -6.3668      -1.4887
PLG4      783.0000     782.8083    -758.8083      -8.7531      -1.2075
PLG4      813.0000     812.6308    -788.6308     -11.9529      -0.6258
PLG4      843.0000     842.3907    -818.3907     -15.5882       0.4181
PLG4      873.0000     872.0596    -848.0596     -19.7461       1.9662
PLG4      903.0000     901.5671    -877.5671     -24.8227       3.8209
PLG4      933.0000     930.8909    -906.8909     -30.7776       5.9656
PLG4      963.0000     960.0934    -936.0934     -37.2597       8.2431
PLG4      993.0000     989.2286    -965.2286     -44.1312      10.2112
PLG4     1023.0000    1018.2775    -994.2775     -51.4446      11.8424
PLG4     1053.0000    1047.2361   -1023.2361     -59.0946      13.5349
PLG4     1083.0000    1076.1274   -1052.1274     -66.9687      15.3484
PLG4     1113.0000    1104.9657   -1080.9657     -75.0704      16.9913
PLG4     1143.0000    1133.8193   -1109.8193     -83.1739      18.3288
PLG4     1173.0000    1162.7477   -1138.7477     -91.0366      19.4787
PLG4     1200.0000    1188.8292   -1164.8292     -97.9266      20.6060
PLG4     1230.0000    1217.8790   -1193.8790    -105.1024      22.7078
PLG4     1260.0000    1247.0295   -1223.0295    -111.5619      25.6191
PLG4     1290.0000    1276.3021   -1252.3021    -117.3296      28.7501
PLG4     1320.0000    1305.6996   -1281.6996    -122.2927      32.0796
PLG4     1350.0000    1335.2201   -1311.2201    -126.4294      35.4526
PLG4     1380.0000    1364.8564   -1340.8564    -129.8282      38.6286
PLG4     1410.0000    1394.5951   -1370.5951    -132.3098      41.6863
PLG4     1440.0000    1424.4053   -1400.4053    -133.6240      44.7693
PLG4     1470.0000    1454.2462   -1430.2462    -133.6931      47.8318
PLG4     1500.0000    1484.0814   -1460.0814    -132.5079      50.7162
PLG4     1530.0000    1513.8740   -1489.8740    -130.1353      53.2955
PLG4     1560.0000    1543.5580   -1519.5580    -126.5575      55.7296
PLG4     1590.0000    1573.0542   -1549.0542    -121.7875      58.3934
PLG4     1620.0000    1602.3698   -1578.3698    -116.3358      61.6815
PLG4     1650.0000    1631.6058   -1607.6058    -110.9430      65.6973
PLG4     1680.0000    1660.9254   -1636.9254    -106.1759      69.8878
PLG4     1710.0000    1690.4343   -1666.4343    -102.2721      73.6145
PLG4     1740.0000    1720.1246   -1696.1246     -99.1522      76.5523
PLG4     1770.0000    1749.9565   -1725.9565     -96.7054      78.5424
PLG4     1800.0000    1779.8713   -1755.8713     -94.8885      79.8679
PLG4     1830.0000    1809.8220   -1785.8220     -93.5572      80.9497
PLG4     1860.0000    1839.7955   -1815.7955     -92.6272      81.7824
PLG4     1890.0000    1869.7916   -1845.7916     -92.3684      81.9717
PLG4     1920.0000    1899.7889   -1875.7889     -92.7110      81.8042
PLG4     1950.0000    1929.7847   -1905.7847     -93.2152      81.7437
PLG4     1980.0000    1959.7825   -1935.7825     -93.5262      81.8653
PLG4     2010.0000    1989.7814   -1965.7814     -93.7384      81.9405
PLG4     2040.0000    2019.7504   -1995.7504     -94.5753      81.0127
PLG4     2070.0000    2049.5647   -2025.5647     -96.6869      78.5125
PLG4     2100.0000    2079.0928   -2055.0928    -100.2397      74.6177
PLG4     2130.0000    2108.2834   -2084.2834    -104.9957      69.6070
PLG4     2140.0000    2117.9395   -2093.9395    -106.7897      67.7251
PLG4     2150.0000    2127.5647   -2103.5647    -108.6600      65.7614
PLG4     2160.0000    2137.1509   -2113.1509    -110.6140      63.6910
PLG4     2170.0000    2146.6892   -2122.6892    -112.6685      61.5010
PLG4     2180.0000    2156.1824   -2132.1824    -114.8220      59.2114
PLG4     2190.0000    2165.6316   -2141.6316    -117.0715      56.8340
PLG4     2200.0000    2175.0442   -2151.0442    -119.4006      54.3892
PLG4     2210.0000    2184.4338   -2160.4338    -121.7778      51.9029
PLG4     2220.0000    2193.8113   -2169.8113    -124.1828      49.3968
PLG4     2230.0000    2203.1863   -2179.1863    -126.5948      46.8882
PLG4     2240.0000    2212.5662   -2188.5662    -128.9937      44.3853
PLG4     2250.0000    2221.9478   -2197.9478    -131.3790      41.8761
PLG4     2260.0000    2231.3169   -2207.3169    -133.7636      39.3204
PLG4     2270.0000    2240.6553   -2216.6553    -136.1640      36.6684
PLG4     2280.0000    2249.9463   -2225.9463    -138.5947      33.8814
PLG4     2290.0000    2259.1797   -2235.1797    -141.0693      30.9456
PLG4     2300.0000    2268.3499   -2244.3499    -143.5938      27.8582
PLG4     2310.0000    2277.4387   -2253.4387    -146.1817      24.5887
PLG4     2320.0000    2286.4185   -2262.4185    -148.8551      21.0941
PLG4     2330.0000    2295.2844   -2271.2844    -151.6125      17.3809
PLG4     2340.0000    2304.0491   -2280.0491    -154.4469      13.4893
PLG4     2350.0000    2312.7170   -2288.7170    -157.3653       9.4463
PLG4     2360.0000    2321.2903   -2297.2903    -160.3693       5.2665
PLG4     2370.0000    2329.7683   -2305.7683    -163.4615       0.9585
PLG4     2380.0000    2338.1545   -2314.1545    -166.6506      -3.4573
PLG4     2390.0000    2346.4570   -2322.4570    -169.9383      -7.9582
PLG4     2400.0000    2354.6829   -2330.6829    -173.3188     -12.5305
PLG4     2410.0000    2362.8413   -2338.8413    -176.7931     -17.1533
PLG4     2420.0000    2370.9397   -2346.9397    -180.3751     -21.7991
PLG4     2430.0000    2378.9819   -2354.9819    -184.0722     -26.4524
PLG4     2440.0000    2386.9573   -2362.9573    -187.8877     -31.1251
PLG4     2450.0000    2394.8450   -2370.8450    -191.8449     -35.8287
PLG4     2460.0000    2402.6379   -2378.6379    -195.9656     -40.5497
