            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:46:20 2007


PLG1  UWI: NO 6608/10-B-4 DHT2       
PLG2  Common: 6608/10-B-4 DHT2                                                                
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      395.6999     395.6999    -371.6999       0.0000       0.0000
PLG4      395.7000     395.7000    -371.7000       0.0000       0.0000
PLG4      423.0000     422.9999    -398.9999       0.0321      -0.0319
PLG4      453.0000     452.9996    -428.9996       0.0172      -0.1512
PLG4      483.0000     482.9981    -458.9981      -0.2244      -0.3214
PLG4      513.0000     512.9942    -488.9942      -0.6485      -0.5352
PLG4      543.0000     542.9889    -518.9889      -1.1838      -0.7152
PLG4      573.0000     572.9839    -548.9839      -1.6962      -0.9062
PLG4      603.0000     602.9790    -578.9790      -2.2122      -1.0630
PLG4      633.0000     632.9732    -608.9732      -2.7775      -1.2287
PLG4      663.0000     662.9680    -638.9680      -3.3130      -1.3931
PLG4      693.0000     692.9628    -668.9628      -3.8525      -1.5327
PLG4      723.0000     722.9479    -698.9479      -4.7732      -1.6225
PLG4      753.0000     752.9058    -728.9058      -6.3503      -1.5785
PLG4      783.0000     782.8077    -758.8077      -8.7415      -1.3229
PLG4      813.0000     812.6302    -788.6302     -11.9429      -0.7478
PLG4      843.0000     842.3892    -818.3892     -15.5898       0.2835
PLG4      873.0000     872.0581    -848.0581     -19.7479       1.8307
PLG4      903.0000     901.5656    -877.5656     -24.8234       3.6891
PLG4      933.0000     930.8893    -906.8893     -30.7785       5.8330
PLG4      963.0000     960.0918    -936.0918     -37.2604       8.1119
PLG4      993.0000     989.2257    -965.2257     -44.1350      10.0883
PLG4     1023.0000    1018.2745    -994.2745     -51.4483      11.7217
PLG4     1053.0000    1047.2332   -1023.2332     -59.0988      13.4129
PLG4     1083.0000    1076.1245   -1052.1245     -66.9728      15.2264
PLG4     1113.0000    1104.9623   -1080.9623     -75.0756      16.8720
PLG4     1143.0000    1133.8158   -1109.8158     -83.1798      18.2078
PLG4     1173.0000    1162.7441   -1138.7441     -91.0427      19.3570
PLG4     1200.0000    1188.8253   -1164.8253     -97.9337      20.4860
PLG4     1230.0000    1217.8689   -1193.8689    -105.1274      22.6115
PLG4     1260.0000    1247.0187   -1223.0187    -111.5859      25.5323
PLG4     1290.0000    1276.2906   -1252.2906    -117.3512      28.6737
PLG4     1320.0000    1305.6868   -1281.6868    -122.3097      32.0214
PLG4     1350.0000    1335.2069   -1311.2069    -126.4406      35.4049
PLG4     1380.0000    1364.8430   -1340.8430    -129.8327      38.5903
PLG4     1410.0000    1394.5795   -1370.5795    -132.2945      41.6846
PLG4     1440.0000    1424.3861   -1400.3861    -133.5865      44.8108
PLG4     1470.0000    1454.2225   -1430.2225    -133.6464      47.9165
PLG4     1500.0000    1484.0535   -1460.0535    -132.4644      50.8464
PLG4     1530.0000    1513.8430   -1489.8430    -130.1035      53.4718
PLG4     1560.0000    1543.5256   -1519.5256    -126.5426      55.9462
PLG4     1590.0000    1573.0219   -1549.0219    -121.7768      58.6185
PLG4     1620.0000    1602.3365   -1578.3365    -116.3140      61.8963
PLG4     1650.0000    1631.5712   -1607.5712    -110.9149      65.9140
PLG4     1680.0000    1660.8904   -1636.8904    -106.1548      70.1151
PLG4     1710.0000    1690.3993   -1666.3993    -102.2548      73.8459
PLG4     1740.0000    1720.0896   -1696.0896     -99.1258      76.7750
PLG4     1770.0000    1749.9211   -1725.9211     -96.6566      78.7427
PLG4     1800.0000    1779.8359   -1755.8359     -94.8435      80.0737
PLG4     1830.0000    1809.7866   -1785.7866     -93.5153      81.1604
PLG4     1860.0000    1839.7601   -1815.7601     -92.5881      81.9963
PLG4     1890.0000    1869.7529   -1845.7529     -92.2583      81.7158
PLG4     1920.0000    1899.7500   -1875.7500     -92.6006      81.5014
PLG4     1950.0000    1929.7457   -1905.7457     -93.1048      81.4410
PLG4     1980.0000    1959.7429   -1935.7429     -93.4342      81.6373
PLG4     2010.0000    1989.7411   -1965.7411     -93.7073      81.7419
PLG4     2040.0000    2019.7096   -1995.7096     -94.6890      80.9628
PLG4     2070.0000    2049.5239   -2025.5239     -96.7849      78.4490
PLG4     2100.0000    2079.0520   -2055.0520    -100.3236      74.5403
PLG4     2130.0000    2108.2427   -2084.2427    -105.0786      69.5286
PLG4     2140.0000    2117.8987   -2093.8987    -106.8726      67.6468
PLG4     2150.0000    2127.5239   -2103.5239    -108.7429      65.6831
PLG4     2160.0000    2137.1101   -2113.1101    -110.6971      63.6129
PLG4     2170.0000    2146.6484   -2122.6484    -112.7516      61.4229
PLG4     2180.0000    2156.1416   -2132.1416    -114.9050      59.1332
PLG4     2190.0000    2165.5908   -2141.5908    -117.1545      56.7558
PLG4     2200.0000    2175.0034   -2151.0034    -119.4835      54.3109
PLG4     2210.0000    2184.3931   -2160.3931    -121.8607      51.8246
PLG4     2220.0000    2193.7705   -2169.7705    -124.2657      49.3184
PLG4     2230.0000    2203.1455   -2179.1455    -126.6777      46.8099
PLG4     2240.0000    2212.5254   -2188.5254    -129.0766      44.3070
PLG4     2250.0000    2221.9070   -2197.9070    -131.4619      41.7978
PLG4     2260.0000    2231.2761   -2207.2761    -133.8467      39.2422
PLG4     2270.0000    2240.6143   -2216.6143    -136.2474      36.5904
PLG4     2280.0000    2249.9053   -2225.9053    -138.6788      33.8038
PLG4     2290.0000    2259.1387   -2235.1387    -141.1538      30.8682
PLG4     2300.0000    2268.3088   -2244.3088    -143.6788      27.7811
PLG4     2310.0000    2277.3977   -2253.3977    -146.2674      24.5121
PLG4     2320.0000    2286.3772   -2262.3772    -148.9417      21.0181
PLG4     2330.0000    2295.2432   -2271.2432    -151.6996      17.3053
PLG4     2340.0000    2304.0078   -2280.0078    -154.5342      13.4138
PLG4     2350.0000    2312.6758   -2288.6758    -157.4527       9.3709
PLG4     2360.0000    2321.2490   -2297.2490    -160.4567       5.1911
PLG4     2370.0000    2329.7271   -2305.7271    -163.5489       0.8831
PLG4     2380.0000    2338.1133   -2314.1133    -166.7379      -3.5328
PLG4     2390.0000    2346.4158   -2322.4158    -170.0255      -8.0338
PLG4     2400.0000    2354.6416   -2330.6416    -173.4058     -12.6063
PLG4     2410.0000    2362.7998   -2338.7998    -176.8799     -17.2292
PLG4     2420.0000    2370.8982   -2346.8982    -180.4618     -21.8752
PLG4     2430.0000    2378.9404   -2354.9404    -184.1587     -26.5287
PLG4     2440.0000    2386.9158   -2362.9158    -187.9740     -31.2017
PLG4     2450.0000    2394.8032   -2370.8032    -191.9308     -35.9056
PLG4     2460.0000    2402.5959   -2378.5959    -196.0512     -40.6272
