            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:47:15 2007


PLG1  UWI: NO 6608/10-C-3 H          
PLG2  Common: 6608/10-C-3 H                                                                   
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      22.0000       0.0000       0.0000
PLG4      397.0000     397.0000    -375.0000       0.0000       0.0000
PLG4      440.0000     439.9997    -417.9997       0.1103      -0.0780
PLG4      470.0000     469.9992    -447.9992       0.1234      -0.2252
PLG4      500.0000     499.9965    -477.9965      -0.2119      -0.4217
PLG4      530.0000     529.9846    -507.9846      -1.0035      -0.6769
PLG4      560.0000     559.9562    -537.9562      -2.2490      -1.0518
PLG4      590.0000     589.8997    -567.8997      -3.9405      -1.7468
PLG4      620.0000     619.7920    -597.7920      -6.1206      -3.0271
PLG4      650.0000     649.6010    -627.6010      -8.8950      -4.9395
PLG4      680.0000     679.2710    -657.2710     -12.5405      -7.4447
PLG4      710.0000     708.7376    -686.7376     -17.1890     -10.6049
PLG4      740.0000     737.9410    -715.9410     -22.6640     -14.7295
PLG4      770.0000     766.9199    -744.9199     -28.7353     -19.5608
PLG4      800.0000     795.8034    -773.8034     -35.1416     -24.5305
PLG4      810.0000     805.4186    -783.4186     -37.3160     -26.2094
PLG4      820.0000     815.0223    -793.0223     -39.5254     -27.9089
PLG4      830.0000     824.6105    -802.6105     -41.7759     -29.6414
PLG4      840.0000     834.1806    -812.1806     -44.0711     -31.4144
PLG4      850.0000     843.7264    -821.7264     -46.4285     -33.2368
PLG4      860.0000     853.2431    -831.2431     -48.8552     -35.1189
PLG4      870.0000     862.7307    -840.7307     -51.3537     -37.0533
PLG4      880.0000     872.1896    -850.1896     -53.9153     -39.0451
PLG4      890.0000     881.6189    -859.6189     -56.5318     -41.1046
PLG4      900.0000     891.0140    -869.0140     -59.2177     -43.2300
PLG4      910.0000     900.3758    -878.3758     -61.9710     -45.4154
PLG4      920.0000     909.7062    -887.7062     -64.7781     -47.6653
PLG4      930.0000     919.0037    -897.0037     -67.6373     -49.9853
PLG4      940.0000     928.2692    -906.2692     -70.5492     -52.3662
PLG4      950.0000     937.5107    -915.5107     -73.5039     -54.7881
