            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:47:30 2007


PLG1  UWI: NO 6608/10-C-4 AH         
PLG2  Common: 6608/10-C-4 AH                                                                  
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      395.7000     395.7000    -371.7000       0.0000       0.0000
PLG4      420.0000     419.9999    -395.9999      -0.0132       0.0469
PLG4      450.0000     449.9994    -425.9994       0.0228       0.2134
PLG4      480.0000     479.9974    -455.9974       0.2485       0.4614
PLG4      510.0000     509.9937    -485.9937       0.6176       0.7585
PLG4      540.0000     539.9886    -515.9886       1.0340       1.1131
PLG4      570.0000     569.9814    -545.9814       1.4806       1.5953
PLG4      600.0000     599.9661    -575.9661       2.0058       2.3848
PLG4      630.0000     629.9289    -605.9289       2.8171       3.6260
PLG4      660.0000     659.8412    -635.8412       4.1484       5.4710
PLG4      690.0000     689.6888    -665.6888       6.0727       7.7917
PLG4      720.0000     719.4578    -695.4578       8.7719      10.3288
PLG4      750.0000     749.1206    -725.1206      12.4314      12.9070
PLG4      780.0000     778.6584    -754.6584      17.1607      15.1453
PLG4      810.0000     808.0530    -784.0530      22.9486      16.6669
PLG4      840.0000     837.2554    -813.2554      29.7814      17.2478
PLG4      870.0000     866.1894    -842.1894      37.6973      17.0404
PLG4      880.0000     875.7543    -851.7543      40.6084      16.8558
PLG4      890.0000     885.2629    -861.2629      43.6976      16.6509
PLG4      900.0000     894.7211    -870.7211      46.9384      16.4583
PLG4      910.0000     904.1260    -880.1260      50.3331      16.3126
PLG4      920.0000     913.4863    -889.4863      53.8510      16.2214
PLG4      930.0000     922.8139    -898.8139      57.4556      16.1856
PLG4      940.0000     932.1049    -908.1049      61.1534      16.2273
PLG4      950.0000     941.3487    -917.3487      64.9654      16.3621
PLG4      960.0000     950.5349    -926.5349      68.9090      16.6047
PLG4      970.0000     959.6578    -935.6578      72.9904      16.9400
PLG4      980.0000     968.7238    -944.7238      77.1927      17.3245
PLG4      990.0000     977.7288    -953.7288      81.5206      17.7448
PLG4     1000.0000     986.6533    -962.6533      86.0088      18.1980
PLG4     1010.0000     995.4809    -971.4809      90.6826      18.6719
PLG4     1020.0000    1004.2121    -980.2121      95.5330      19.1577
PLG4     1030.0000    1012.8450    -988.8450     100.5568      19.6376
PLG4     1040.0000    1021.3745    -997.3745     105.7563      20.0958
PLG4     1050.0000    1029.8126   -1005.8126     111.1045      20.5368
PLG4     1060.0000    1038.1869   -1014.1869     116.5525      20.9722
PLG4     1070.0000    1046.5166   -1022.5166     122.0682      21.4117
PLG4     1080.0000    1054.7765   -1030.7765     127.6863      21.8682
PLG4     1090.0000    1062.9604   -1038.9604     133.4130      22.3446
PLG4     1100.0000    1071.0756   -1047.0756     139.2360      22.8295
PLG4     1110.0000    1079.0990   -1055.0990     145.1856      23.3038
PLG4     1120.0000    1087.0347   -1063.0347     151.2538      23.7530
PLG4     1130.0000    1094.8894   -1070.8894     157.4290      24.1623
PLG4     1140.0000    1102.6210   -1078.6210     163.7612      24.5079
PLG4     1150.0000    1110.2222   -1086.2222     170.2526      24.7940
PLG4     1160.0000    1117.7307   -1093.7307     176.8524      25.0445
PLG4     1170.0000    1125.1199   -1101.1199     183.5852      25.3004
PLG4     1180.0000    1132.3970   -1108.3970     190.4385      25.5763
PLG4     1190.0000    1139.6091   -1115.6091     197.3598      25.8573
PLG4     1200.0000    1146.7648   -1122.7648     204.3395      26.1413
PLG4     1210.0000    1153.8660   -1129.8660     211.3743      26.4300
PLG4     1220.0000    1160.9178   -1136.9178     218.4586      26.7170
PLG4     1230.0000    1167.9213   -1143.9213     225.5911      26.9966
PLG4     1240.0000    1174.8735   -1150.8735     232.7736      27.2769
PLG4     1250.0000    1181.7836   -1157.7836     239.9966      27.5588
PLG4     1260.0000    1188.6659   -1164.6659     247.2459      27.8443
PLG4     1270.0000    1195.5355   -1171.5355     254.5067      28.1416
PLG4     1280.0000    1202.3956   -1178.3956     261.7764      28.4444
PLG4     1290.0000    1209.2443   -1185.2443     269.0564      28.7552
PLG4     1300.0000    1216.0903   -1192.0903     276.3372      29.1030
PLG4     1310.0000    1222.9314   -1198.9314     283.6209      29.4867
PLG4     1320.0000    1229.7622   -1205.7622     290.9130      29.8944
PLG4     1330.0000    1236.5924   -1212.5924     298.2043      30.3244
PLG4     1340.0000    1243.4220   -1219.4220     305.4950      30.7748
PLG4     1350.0000    1250.2451   -1226.2451     312.7900      31.2504
PLG4     1360.0000    1257.0607   -1233.0607     320.0901      31.7583
PLG4     1370.0000    1263.8781   -1239.8781     327.3858      32.3011
PLG4     1380.0000    1270.6942   -1246.6942     334.6806      32.8720
PLG4     1390.0000    1277.4963   -1253.4963     341.9860      33.4739
PLG4     1400.0000    1284.2920   -1260.2920     349.2942      34.1133
PLG4     1410.0000    1291.0813   -1267.0813     356.6036      34.8043
PLG4     1420.0000    1297.8527   -1273.8527     363.9240      35.5530
PLG4     1430.0000    1304.6008   -1280.6008     371.2612      36.3443
PLG4     1440.0000    1311.3264   -1287.3264     378.6157      37.1673
PLG4     1450.0000    1318.0416   -1294.0416     385.9779      38.0061
PLG4     1460.0000    1324.7517   -1300.7517     393.3436      38.8551
PLG4     1470.0000    1331.4482   -1307.4482     400.7201      39.7177
PLG4     1480.0000    1338.1278   -1314.1278     408.1107      40.5905
PLG4     1490.0000    1344.7944   -1320.7944     415.5115      41.4763
PLG4     1500.0000    1351.4624   -1327.4624     422.9108      42.3645
PLG4     1510.0000    1358.1517   -1334.1517     430.2947      43.2189
PLG4     1520.0000    1364.8793   -1340.8793     437.6505      44.0135
PLG4     1530.0000    1371.6577   -1347.6577     444.9676      44.7292
PLG4     1540.0000    1378.4974   -1354.4974     452.2364      45.3468
PLG4     1550.0000    1385.3962   -1361.3962     459.4564      45.8734
PLG4     1560.0000    1392.3170   -1368.3170     466.6590      46.3473
PLG4     1570.0000    1399.2233   -1375.2233     473.8766      46.8058
PLG4     1580.0000    1406.0941   -1382.0941     481.1282      47.2576
PLG4     1590.0000    1412.9294   -1388.9294     488.4135      47.7096
PLG4     1600.0000    1419.7456   -1395.7456     495.7160      48.1703
PLG4     1610.0000    1426.5426   -1402.5426     503.0361      48.6366
PLG4     1620.0000    1433.3248   -1409.3248     510.3697      49.1051
PLG4     1630.0000    1440.1110   -1416.1110     517.7001      49.5676
PLG4     1640.0000    1446.9156   -1422.9156     525.0150      50.0022
PLG4     1650.0000    1453.7516   -1429.7516     532.3033      50.3899
PLG4     1660.0000    1460.6282   -1436.6282     539.5562      50.7187
PLG4     1670.0000    1467.5439   -1443.5439     546.7741      50.9891
PLG4     1680.0000    1474.4880   -1450.4880     553.9667      51.2027
PLG4     1690.0000    1481.4535   -1457.4535     561.1405      51.3423
PLG4     1700.0000    1488.4414   -1464.4414     568.2935      51.3948
