            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:48:38 2007


PLG1  UWI: NO 6608/10-D-1 BH         
PLG2  Common: 6608/10-D-1 BH                                                                  
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      396.7000     396.7000    -372.7000       0.0000       0.0000
PLG4      400.0000     400.0000    -376.0000      -0.0006       0.0006
PLG4      429.0000     428.9998    -404.9998      -0.0496       0.0553
PLG4      459.0000     458.9995    -434.9995      -0.1669       0.1201
PLG4      489.0000     488.9990    -464.9990      -0.3416       0.1144
PLG4      519.0000     518.9974    -494.9974      -0.6159       0.0043
PLG4      549.0000     548.9902    -524.9902      -1.1266      -0.3819
PLG4      579.0000     578.9662    -554.9662      -1.9936      -1.1938
PLG4      609.0000     608.9155    -584.9155      -3.1577      -2.4836
PLG4      629.0000     628.8563    -604.8563      -4.1303      -3.6681
PLG4      640.0000     639.7990    -615.7990      -4.7448      -4.5994
PLG4      650.0000     649.7333    -625.7333      -5.2710      -5.6158
PLG4      660.0000     659.6741    -635.6741      -5.6868      -6.6191
PLG4      670.0000     669.6200    -645.6200      -5.9810      -7.6145
PLG4      680.0000     679.5679    -655.5679      -6.1785      -8.6144
PLG4      690.0000     689.5151    -665.5151      -6.3053      -9.6323
PLG4      700.0000     699.4623    -675.4623      -6.3777     -10.6556
PLG4      710.0000     709.4110    -685.4110      -6.3903     -11.6664
PLG4      720.0000     719.3616    -695.3616      -6.3240     -12.6564
PLG4      730.0000     729.3159    -705.3159      -6.1735     -13.5993
PLG4      740.0000     739.2749    -715.2749      -5.9481     -14.4751
PLG4      750.0000     749.2371    -725.2371      -5.6373     -15.2855
PLG4      760.0000     759.1995    -735.1995      -5.2263     -16.0484
PLG4      770.0000     769.1581    -745.1581      -4.6929     -16.7825
PLG4      780.0000     779.1087    -755.1087      -4.0034     -17.4955
PLG4      790.0000     789.0480    -765.0480      -3.1401     -18.1759
PLG4      800.0000     798.9759    -774.9759      -2.1259     -18.8130
PLG4      810.0000     808.8950    -784.8950      -1.0042     -19.4067
PLG4      820.0000     818.8065    -794.8065       0.2050     -19.9538
PLG4      830.0000     828.7105    -804.7105       1.4992     -20.4388
PLG4      840.0000     838.6057    -814.6057       2.8905     -20.8233
PLG4      850.0000     848.4884    -824.4884       4.3914     -21.1007
PLG4      860.0000     858.3572    -834.3572       5.9959     -21.2758
PLG4      870.0000     868.2098    -844.2098       7.7043     -21.3514
PLG4      880.0000     878.0423    -854.0423       9.5264     -21.3551
PLG4      890.0000     887.8499    -863.8499      11.4780     -21.3265
PLG4      900.0000     897.6247    -873.6247      13.5876     -21.2965
PLG4      910.0000     907.3733    -883.3733      15.8157     -21.2791
PLG4      920.0000     917.0850    -893.0850      18.1984     -21.2789
PLG4      930.0000     926.7458    -902.7458      20.7806     -21.3005
PLG4      940.0000     936.3686    -912.3686      23.5005     -21.3412
PLG4      950.0000     945.9507    -921.9507      26.3605     -21.3727
PLG4      960.0000     955.4823    -931.4823      29.3848     -21.3616
PLG4      970.0000     964.9597    -940.9597      32.5741     -21.2839
PLG4      980.0000     974.3784    -950.3784      35.9284     -21.1066
PLG4      990.0000     983.7266    -959.7266      39.4665     -20.8083
PLG4     1000.0000     992.9990    -968.9990      43.1884     -20.4010
PLG4     1010.0000    1002.1929    -978.1929      47.0898     -19.9044
PLG4     1020.0000    1011.2912    -987.2912      51.1987     -19.3277
PLG4     1030.0000    1020.2700    -996.2700      55.5520     -18.6782
PLG4     1040.0000    1029.1106   -1005.1106      60.1698     -17.9621
PLG4     1050.0000    1037.8165   -1013.8165      65.0270     -17.1817
PLG4     1060.0000    1046.4060   -1022.4060      70.0795     -16.3510
PLG4     1070.0000    1054.8687   -1030.8687      75.3363     -15.4884
PLG4     1080.0000    1063.2411   -1039.2411      80.7347     -14.6165
PLG4     1090.0000    1071.5929   -1047.5929      86.1664     -13.7543
PLG4     1100.0000    1079.9119   -1055.9119      91.6479     -12.8905
PLG4     1110.0000    1088.1555   -1064.1555      97.2388     -12.0060
PLG4     1120.0000    1096.3082   -1072.3082     102.9569     -11.0926
PLG4     1130.0000    1104.3654   -1080.3654     108.8028     -10.1409
PLG4     1140.0000    1112.3242   -1088.3242     114.7773      -9.1615
PLG4     1150.0000    1120.1941   -1096.1941     120.8680      -8.1779
PLG4     1160.0000    1127.9648   -1103.9648     127.0836      -7.1890
PLG4     1170.0000    1135.6348   -1111.6348     133.4206      -6.1819
PLG4     1180.0000    1143.2332   -1119.2332     139.8385      -5.1452
PLG4     1190.0000    1150.7935   -1126.7935     146.2936      -4.0621
PLG4     1200.0000    1158.3531   -1134.3531     152.7406      -2.9277
PLG4     1210.0000    1165.8956   -1141.8956     159.1993      -1.7463
PLG4     1220.0000    1173.3961   -1149.3961     165.6989      -0.5228
PLG4     1230.0000    1180.8978   -1156.8978     172.1945       0.7145
PLG4     1240.0000    1188.4358   -1164.4358     178.6499       1.9425
