            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:48:53 2007


PLG1  UWI: NO 6608/10-D-1 CH         
PLG2  Common: 6608/10-D-1 CH                                                                  
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      396.7000     396.7000    -372.7000       0.0000       0.0000
PLG4      400.0000     400.0000    -376.0000       0.0074       0.0055
PLG4      410.0000     409.9999    -385.9999       0.0365       0.0363
PLG4      420.0000     419.9998    -395.9998       0.0490       0.0651
PLG4      430.0000     429.9998    -405.9998       0.0577       0.0951
PLG4      440.0000     439.9997    -415.9997       0.0581       0.1226
PLG4      450.0000     449.9997    -425.9997       0.0464       0.1504
PLG4      460.0000     459.9996    -435.9996       0.0257       0.1805
PLG4      470.0000     469.9995    -445.9995      -0.0007       0.2107
PLG4      480.0000     479.9994    -455.9994      -0.0394       0.2444
PLG4      490.0000     489.9992    -465.9992      -0.0899       0.2803
PLG4      500.0000     499.9990    -475.9990      -0.1492       0.3112
PLG4      510.0000     509.9987    -485.9987      -0.2213       0.3299
PLG4      520.0000     519.9982    -495.9982      -0.3157       0.3298
PLG4      530.0000     529.9973    -505.9973      -0.4490       0.3040
PLG4      540.0000     539.9955    -515.9955      -0.6286       0.2449
PLG4      550.0000     549.9921    -525.9921      -0.8334       0.0893
PLG4      560.0000     559.9858    -535.9858      -1.0809      -0.1624
PLG4      570.0000     569.9775    -545.9775      -1.3786      -0.4393
PLG4      580.0000     579.9679    -555.9679      -1.6960      -0.7397
PLG4      590.0000     589.9566    -565.9566      -2.0349      -1.0718
PLG4      600.0000     599.9426    -575.9426      -2.4019      -1.4521
PLG4      610.0000     609.9222    -585.9222      -2.8192      -1.9325
PLG4      620.0000     619.8857    -595.8857      -3.3486      -2.5971
PLG4      630.0000     629.8254    -605.8254      -3.9612      -3.5041
PLG4      640.0000     639.7546    -615.7546      -4.5546      -4.5325
PLG4      650.0000     649.6889    -625.6889      -5.0808      -5.5489
PLG4      660.0000     659.6297    -635.6297      -5.4966      -6.5523
PLG4      670.0000     669.5756    -645.5756      -5.7908      -7.5477
PLG4      680.0000     679.5235    -655.5235      -5.9884      -8.5476
PLG4      690.0000     689.4707    -665.4707      -6.1151      -9.5655
PLG4      700.0000     699.4179    -675.4179      -6.1875     -10.5888
PLG4      710.0000     709.3666    -685.3666      -6.2001     -11.5996
PLG4      720.0000     719.3173    -695.3173      -6.1339     -12.5895
PLG4      730.0000     729.2715    -705.2715      -5.9833     -13.5324
PLG4      740.0000     739.2305    -715.2305      -5.7579     -14.4083
PLG4      750.0000     749.1927    -725.1927      -5.4471     -15.2187
PLG4      760.0000     759.1551    -735.1551      -5.0361     -15.9815
PLG4      770.0000     769.1138    -745.1138      -4.5027     -16.7157
PLG4      780.0000     779.0643    -755.0643      -3.8133     -17.4287
PLG4      790.0000     789.0036    -765.0036      -2.9500     -18.1091
PLG4      800.0000     798.9315    -774.9315      -1.9357     -18.7462
PLG4      810.0000     808.8506    -784.8506      -0.8141     -19.3399
PLG4      820.0000     818.7621    -794.7621       0.3952     -19.8870
PLG4      830.0000     828.6661    -804.6661       1.6894     -20.3720
PLG4      840.0000     838.5613    -814.5613       3.0807     -20.7565
PLG4      850.0000     848.4440    -824.4440       4.5815     -21.0339
PLG4      860.0000     858.3128    -834.3128       6.1861     -21.2090
PLG4      870.0000     868.1654    -844.1654       7.8945     -21.2845
PLG4      880.0000     877.9979    -853.9979       9.7166     -21.2882
PLG4      890.0000     887.8055    -863.8055      11.6681     -21.2597
PLG4      900.0000     897.5803    -873.5803      13.7777     -21.2297
PLG4      910.0000     907.3188    -883.3188      16.0492     -21.2121
PLG4      920.0000     917.0200    -893.0200      18.4752     -21.2118
PLG4      930.0000     926.6807    -902.6807      21.0573     -21.2334
PLG4      940.0000     936.3035    -912.3035      23.7773     -21.2740
PLG4      950.0000     945.8857    -921.8857      26.6372     -21.3056
PLG4      960.0000     955.4172    -931.4172      29.6616     -21.2945
PLG4      970.0000     964.8946    -940.8946      32.8508     -21.2167
PLG4      980.0000     974.3134    -950.3134      36.2051     -21.0394
PLG4      990.0000     983.6615    -959.6615      39.7432     -20.7412
PLG4     1000.0000     992.9339    -968.9339      43.4652     -20.3339
PLG4     1010.0000    1002.1279    -978.1279      47.3665     -19.8372
PLG4     1020.0000    1011.2261    -987.2261      51.4754     -19.2605
PLG4     1030.0000    1020.2050    -996.2050      55.8288     -18.6111
PLG4     1040.0000    1029.0455   -1005.0455      60.4465     -17.8950
PLG4     1050.0000    1037.7515   -1013.7515      65.3037     -17.1145
PLG4     1060.0000    1046.3409   -1022.3409      70.3563     -16.2839
PLG4     1070.0000    1054.8036   -1030.8036      75.6131     -15.4213
PLG4     1080.0000    1063.1760   -1039.1760      81.0114     -14.5494
PLG4     1090.0000    1071.5278   -1047.5278      86.4431     -13.6872
PLG4     1100.0000    1079.8468   -1055.8468      91.9246     -12.8234
