            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:49:11 2007


PLG1  UWI: NO 6608/10-D-1 H          
PLG2  Common: 6608/10-D-1 H                                                                   
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      25.0000       0.0000       0.0000
PLG4      401.0000     401.0000    -376.0000       0.0000       0.0000
PLG4      430.0000     429.9999    -404.9999      -0.0439       0.0490
PLG4      460.0000     459.9996    -434.9996      -0.1613       0.1139
PLG4      490.0000     489.9990    -464.9990      -0.3360       0.1081
PLG4      520.0000     519.9975    -494.9975      -0.6102      -0.0020
PLG4      550.0000     549.9903    -524.9903      -1.1209      -0.3882
PLG4      580.0000     579.9663    -554.9663      -1.9880      -1.2001
PLG4      610.0000     609.9155    -584.9155      -3.1520      -2.4899
PLG4      640.0000     639.8144    -614.8144      -4.7049      -4.3819
PLG4      670.0000     669.6296    -644.6296      -6.7703      -6.9749
PLG4      700.0000     699.3099    -674.3099      -9.4157     -10.4326
PLG4      730.0000     728.7418    -703.7418     -12.8535     -15.0916
PLG4      760.0000     757.8295    -732.8295     -17.0116     -21.1267
PLG4      770.0000     767.4481    -742.4481     -18.4998     -23.4217
PLG4      780.0000     777.0388    -752.0388     -20.0017     -25.8223
PLG4      790.0000     786.6036    -761.6036     -21.5101     -28.3199
PLG4      800.0000     796.1434    -771.1434     -23.0131     -30.9146
PLG4      810.0000     805.6591    -780.6591     -24.5078     -33.6011
PLG4      820.0000     815.1525    -790.1525     -26.0057     -36.3636
PLG4      830.0000     824.6288    -799.6288     -27.5052     -39.1833
PLG4      840.0000     834.0925    -809.0925     -28.9914     -42.0520
PLG4      850.0000     843.5437    -818.5437     -30.4560     -44.9725
PLG4      860.0000     852.9835    -827.9835     -31.8930     -47.9434
PLG4      870.0000     862.4139    -837.4139     -33.2913     -50.9616
PLG4      880.0000     871.8336    -846.8336     -34.6609     -54.0265
PLG4      890.0000     881.2392    -856.2392     -36.0184     -57.1398
PLG4      900.0000     890.6295    -865.6295     -37.3659     -60.3029
PLG4      910.0000     900.0035    -875.0035     -38.7038     -63.5181
PLG4      920.0000     909.3574    -884.3574     -40.0399     -66.7923
PLG4      930.0000     918.6869    -893.6869     -41.3825     -70.1325
PLG4      940.0000     927.9879    -902.9879     -42.7406     -73.5453
PLG4      950.0000     937.2593    -912.2593     -44.1214     -77.0285
PLG4      960.0000     946.4984    -921.4984     -45.5286     -80.5863
PLG4      970.0000     955.7031    -930.7031     -46.9673     -84.2200
PLG4      980.0000     964.8737    -939.8737     -48.4433     -87.9242
PLG4      990.0000     974.0120    -949.0120     -49.9531     -91.6941
PLG4     1000.0000     983.1256    -958.1256     -51.4870     -95.5135
PLG4     1010.0000     992.2147    -967.2147     -53.0491     -99.3798
PLG4     1020.0000    1001.2803    -976.2803     -54.6500    -103.2850
PLG4     1030.0000    1010.3275    -985.3275     -56.3065    -107.2099
PLG4     1040.0000    1019.3572    -994.3572     -58.0476    -111.1384
PLG4     1050.0000    1028.3774   -1003.3774     -59.8784    -115.0476
PLG4     1060.0000    1037.3921   -1012.3921     -61.7997    -118.9263
PLG4     1070.0000    1046.3999   -1021.3999     -63.8197    -122.7705
PLG4     1080.0000    1055.4016   -1030.4016     -65.9283    -126.5813
PLG4     1090.0000    1064.3929   -1039.3929     -68.1007    -130.3807
PLG4     1100.0000    1073.3701   -1048.3701     -70.3116    -134.1914
PLG4     1110.0000    1082.3303   -1057.3303     -72.5467    -138.0279
PLG4     1120.0000    1091.2699   -1066.2699     -74.7959    -141.9041
PLG4     1130.0000    1100.1863   -1075.1863     -77.0482    -145.8315
PLG4     1140.0000    1109.0829   -1084.0829     -79.2723    -149.8194
PLG4     1150.0000    1117.9631   -1092.9631     -81.4332    -153.8779
PLG4     1160.0000    1126.8257   -1101.8257     -83.5189    -158.0137
PLG4     1170.0000    1135.6638   -1110.6638     -85.5368    -162.2344
PLG4     1180.0000    1144.4674   -1119.4674     -87.4862    -166.5581
PLG4     1190.0000    1153.2263   -1128.2263     -89.3569    -171.0055
PLG4     1200.0000    1161.9395   -1136.9395     -91.1349    -175.5792
PLG4     1210.0000    1170.6121   -1145.6121     -92.8028    -180.2698
PLG4     1220.0000    1179.2496   -1154.2496     -94.3693    -185.0591
PLG4     1230.0000    1187.8655   -1162.8655     -95.8567    -189.9123
PLG4     1240.0000    1196.4760   -1171.4760     -97.2954    -194.7897
PLG4     1250.0000    1205.1024   -1180.1024     -98.7163    -199.6441
PLG4     1260.0000    1213.7618   -1188.7618    -100.1400    -204.4387
PLG4     1270.0000    1222.4672   -1197.4672    -101.5900    -209.1413
