            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:49:35 2007


PLG1  UWI: NO 6608/10-D-2 HT2        
PLG2  Common: 6608/10-D-2 HT2                                                                 
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      25.0000       0.0000       0.0000
PLG4      401.0000     401.0000    -376.0000       0.0000       0.0000
PLG4      420.0000     419.9999    -394.9999      -0.0326      -0.0164
PLG4      450.0000     449.9998    -424.9998      -0.0705       0.0430
PLG4      480.0000     479.9996    -454.9996      -0.0962       0.1273
PLG4      510.0000     509.9986    -484.9986      -0.3191       0.1687
PLG4      540.0000     539.9940    -514.9940      -0.8278       0.2669
PLG4      570.0000     569.9797    -544.9797      -1.7389       0.3019
PLG4      600.0000     599.9492    -574.9492      -3.0805       0.1683
PLG4      630.0000     629.8950    -604.8950      -4.8355      -0.2080
PLG4      660.0000     659.8010    -634.8010      -7.0819      -0.9505
PLG4      690.0000     689.6495    -664.6495      -9.8042      -2.2171
PLG4      720.0000     719.4489    -694.4489     -12.8050      -3.9438
PLG4      750.0000     749.2535    -724.2535     -15.6246      -5.8709
PLG4      780.0000     779.1027    -754.1027     -17.8983      -7.8274
PLG4      810.0000     808.9991    -783.9991     -19.5956      -9.6417
PLG4      840.0000     838.9310    -813.9310     -20.8722     -11.2027
PLG4      870.0000     868.8812    -843.8812     -21.9488     -12.5528
PLG4      900.0000     898.8389    -873.8389     -22.9084     -13.8237
PLG4      930.0000     928.8004    -903.8004     -23.7335     -15.0997
PLG4      960.0000     958.7638    -933.7638     -24.4674     -16.3859
PLG4      990.0000     988.7299    -963.7299     -25.1303     -17.6486
PLG4     1020.0000    1018.7070    -993.7070     -25.6070     -18.7092
PLG4     1050.0000    1048.6938   -1023.6938     -25.8857     -19.5538
PLG4     1080.0000    1078.6816   -1053.6816     -26.1296     -20.3742
PLG4     1110.0000    1108.6685   -1083.6685     -26.3930     -21.2216
PLG4     1140.0000    1138.6553   -1113.6553     -26.6215     -22.0782
PLG4     1170.0000    1168.6440   -1143.6440     -26.7925     -22.8794
PLG4     1200.0000    1198.6388   -1173.6388     -26.8035     -23.4226
PLG4     1230.0000    1228.6366   -1203.6366     -26.6473     -23.7468
PLG4     1260.0000    1258.6346   -1233.6346     -26.4727     -24.0420
PLG4     1290.0000    1288.6327   -1263.6327     -26.2981     -24.3342
PLG4     1320.0000    1318.6311   -1293.6311     -26.1646     -24.6024
PLG4     1350.0000    1348.6301   -1323.6301     -26.0698     -24.8233
PLG4     1380.0000    1378.6292   -1353.6292     -25.9258     -25.0228
PLG4     1410.0000    1408.6282   -1383.6282     -25.7761     -25.2071
PLG4     1440.0000    1438.6279   -1413.6279     -25.7069     -25.3008
PLG4     1470.0000    1468.6277   -1443.6277     -25.7573     -25.2326
PLG4     1500.0000    1498.6273   -1473.6273     -25.8546     -25.1232
PLG4     1530.0000    1528.6271   -1503.6271     -25.9445     -25.0392
PLG4     1560.0000    1558.6267   -1533.6267     -26.0535     -24.9412
PLG4     1590.0000    1588.6261   -1563.6261     -26.1667     -24.8023
PLG4     1620.0000    1618.6252   -1593.6252     -26.3089     -24.6257
PLG4     1650.0000    1648.6245   -1623.6245     -26.4661     -24.5115
PLG4     1680.0000    1678.6243   -1653.6243     -26.5397     -24.4289
PLG4     1710.0000    1708.6238   -1683.6238     -26.5282     -24.2724
PLG4     1740.0000    1738.6230   -1713.6230     -26.5513     -24.0667
PLG4     1770.0000    1768.6226   -1743.6226     -26.5527     -23.9061
PLG4     1800.0000    1798.6222   -1773.6222     -26.4595     -23.7838
PLG4     1830.0000    1828.6215   -1803.6215     -26.3486     -23.6176
PLG4     1860.0000    1858.6201   -1833.6201     -26.5192     -23.4459
PLG4     1890.0000    1888.5962   -1863.5962     -27.6459     -23.3435
PLG4     1920.0000    1918.4839   -1893.4839     -30.2023     -23.2906
PLG4     1950.0000    1948.2463   -1923.2463     -33.9596     -23.3684
PLG4     1980.0000    1977.9164   -1952.9164     -38.3792     -23.7317
PLG4     2010.0000    2007.4652   -1982.4652     -43.4114     -24.8932
PLG4     2040.0000    2036.7708   -2011.7708     -49.2113     -27.5825
PLG4     2070.0000    2065.7029   -2040.7029     -55.7583     -32.0263
PLG4     2080.0000    2075.2451   -2050.2451     -58.0652     -33.9290
PLG4     2090.0000    2084.7466   -2059.7466     -60.3587     -36.0410
PLG4     2100.0000    2094.2253   -2069.2253     -62.6525     -38.2525
PLG4     2110.0000    2103.6924   -2078.6924     -64.9858     -40.4727
PLG4     2120.0000    2113.1511   -2088.1511     -67.3817     -42.6622
PLG4     2130.0000    2122.6045   -2097.6045     -69.8179     -44.8293
