            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:50:38 2007


PLG1  UWI: NO 6608/10-D-3 BY1HT2     
PLG2  Common: 6608/10-D-3 BY1HT2                                                              
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      396.6999     396.6999    -372.6999       0.0000       0.0000
PLG4      396.7000     396.7000    -372.7000       0.0000       0.0000
PLG4      452.0000     451.9982    -427.9982       0.0371       0.3891
PLG4      482.0000     481.9947    -457.9947       0.0886       0.8416
PLG4      512.0000     511.9911    -487.9911       0.1864       1.2900
PLG4      542.0000     541.9856    -517.9856       0.4603       1.7894
PLG4      572.0000     571.9733    -547.9733       1.0055       2.4470
PLG4      602.0000     601.9442    -577.9442       1.9903       3.3056
PLG4      632.0000     631.8622    -607.8622       3.8293       4.4959
PLG4      662.0000     661.7021    -637.7021       6.5624       5.9357
PLG4      692.0000     691.4209    -667.4209      10.3058       7.5560
PLG4      722.0000     720.8272    -696.8272      15.6699      10.0076
PLG4      752.0000     749.9385    -725.9385      22.1932      13.1644
PLG4      752.0001     749.9386    -725.9386      22.1933      13.1645
PLG4      782.0000     778.9246    -754.9246      29.1872      16.4601
PLG4      792.0000     788.5474    -764.5474      31.6380      17.6403
PLG4      802.0000     798.1484    -774.1484      34.1402      18.8892
PLG4      812.0000     807.7296    -783.7296      36.6841      20.2039
PLG4      822.0000     817.2950    -793.2950      39.2530      21.5838
PLG4      832.0000     826.8442    -802.8442      41.8436      23.0335
PLG4      842.0000     836.3727    -812.3727      44.4646      24.5626
PLG4      852.0000     845.8813    -821.8813      47.1136      26.1649
PLG4      862.0000     855.3698    -831.3698      49.7958      27.8304
PLG4      872.0000     864.8334    -840.8334      52.5247      29.5601
PLG4      882.0000     874.2642    -850.2642      55.3178      31.3653
PLG4      892.0000     883.6559    -859.6559      58.1927      33.2437
PLG4      902.0000     892.9973    -868.9973      61.1738      35.2059
PLG4      912.0000     902.2784    -878.2784      64.2719      37.2696
PLG4      922.0000     911.4987    -887.4987      67.4834      39.4311
PLG4      932.0000     920.6548    -896.6548      70.8129      41.6841
PLG4      942.0000     929.7446    -905.7446      74.2685      44.0152
PLG4      952.0000     938.7605    -914.7605      77.8675      46.4146
PLG4      962.0000     947.6937    -923.6937      81.6232      48.8823
PLG4      972.0000     956.5468    -932.5468      85.5206      51.4185
PLG4      982.0000     965.3113    -941.3113      89.5648      54.0305
PLG4      992.0000     973.9824    -949.9824      93.7703      56.6995
PLG4     1002.0000     982.5666    -958.5666      98.1320      59.3986
PLG4     1012.0000     991.0654    -967.0654     102.6390      62.1289
PLG4     1022.0000     999.4724    -975.4724     107.2956      64.8922
PLG4     1032.0000    1007.7841    -983.7841     112.1015      67.6879
PLG4     1042.0000    1016.0015    -992.0015     117.0518      70.5105
PLG4     1052.0000    1024.1182   -1000.1182     122.1528      73.3558
PLG4     1062.0000    1032.1427   -1008.1427     127.3977      76.2013
PLG4     1072.0000    1040.0800   -1016.0800     132.7809      79.0331
PLG4     1082.0000    1047.9120   -1023.9120     138.3192      81.8587
PLG4     1092.0000    1055.6232   -1031.6232     144.0294      84.6741
PLG4     1102.0000    1063.2045   -1039.2045     149.9147      87.4820
PLG4     1112.0000    1070.6604   -1046.6604     155.9644      90.2763
PLG4     1122.0000    1077.9977   -1053.9977     162.1738      93.0338
PLG4     1132.0000    1085.2140   -1061.2140     168.5403      95.7522
PLG4     1142.0000    1092.3275   -1068.3275     175.0282      98.4547
PLG4     1152.0000    1099.3639   -1075.3639     181.6033     101.1485
PLG4     1162.0000    1106.3430   -1082.3430     188.2429     103.8331
PLG4     1172.0000    1113.2833   -1089.2833     194.9330     106.4926
PLG4     1182.0000    1120.1814   -1096.1814     201.6823     109.1124
PLG4     1192.0000    1127.0077   -1103.0077     208.5160     111.7006
PLG4     1202.0000    1133.7229   -1109.7229     215.4586     114.2901
PLG4     1212.0000    1140.2761   -1116.2761     222.5376     116.9241
PLG4     1222.0000    1146.6388   -1122.6388     229.7627     119.6278
PLG4     1232.0000    1152.8269   -1128.8269     237.1097     122.4071
PLG4     1242.0000    1158.8540   -1134.8540     244.5596     125.2655
PLG4     1252.0000    1164.7148   -1140.7148     252.1115     128.2009
PLG4     1262.0000    1170.4176   -1146.4176     259.7634     131.1881
PLG4     1272.0000    1175.9587   -1151.9587     267.5172     134.2166
PLG4     1282.0000    1181.3442   -1157.3442     275.3688     137.2738
PLG4     1292.0000    1186.6227   -1162.6227     283.2900     140.3383
PLG4     1302.0000    1191.8224   -1167.8224     291.2608     143.4091
PLG4     1312.0000    1196.9661   -1172.9661     299.2629     146.4929
PLG4     1322.0000    1202.1067   -1178.1067     307.2621     149.5891
PLG4     1332.0000    1207.3420   -1183.3420     315.2000     152.6839
PLG4     1342.0000    1212.7275   -1188.7275     323.0428     155.7637
PLG4     1352.0000    1218.2468   -1194.2468     330.7901     158.8482
PLG4     1362.0000    1223.8192   -1199.8192     338.4884     161.9601
PLG4     1372.0000    1229.3473   -1205.3473     346.2103     165.0925
PLG4     1382.0000    1234.7864   -1210.7864     353.9841     168.2523
PLG4     1392.0000    1240.0900   -1216.0900     361.8343     171.4527
PLG4     1402.0000    1245.1982   -1221.1982     369.7987     174.6882
PLG4     1412.0000    1250.0476   -1226.0476     377.9086     177.9598
PLG4     1422.0000    1254.6285   -1230.6285     386.1663     181.2490
PLG4     1432.0000    1258.9666   -1234.9666     394.5632     184.5150
PLG4     1442.0000    1263.1158   -1239.1158     403.0667     187.7510
PLG4     1452.0000    1267.1776   -1243.1776     411.6167     190.9758
PLG4     1462.0000    1271.2139   -1247.2139     420.1887     194.1740
PLG4     1472.0000    1275.2013   -1251.2013     428.7905     197.3533
PLG4     1482.0000    1279.0813   -1255.0813     437.4323     200.5569
PLG4     1492.0000    1282.8063   -1258.8063     446.1245     203.8077
PLG4     1502.0000    1286.3312   -1262.3312     454.8754     207.1232
PLG4     1512.0000    1289.6487   -1265.6487     463.6790     210.5124
PLG4     1522.0000    1292.7910   -1268.7910     472.5181     213.9756
PLG4     1532.0000    1295.8005   -1271.8005     481.3811     217.4955
PLG4     1542.0000    1298.7434   -1274.7434     490.2501     221.0563
PLG4     1552.0000    1301.7089   -1277.7089     499.0955     224.6570
PLG4     1562.0000    1304.7426   -1280.7426     507.9084     228.2804
PLG4     1572.0000    1307.8094   -1283.8094     516.7089     231.9059
PLG4     1582.0000    1310.8796   -1286.8796     525.5078     235.5326
PLG4     1592.0000    1313.9474   -1289.9474     534.3110     239.1511
PLG4     1602.0000    1317.0018   -1293.0018     543.1262     242.7512
PLG4     1612.0000    1320.0364   -1296.0364     551.9590     246.3253
PLG4     1622.0000    1323.0535   -1299.0535     560.8149     249.8566
PLG4     1632.0000    1326.0756   -1302.0756     569.6934     253.3262
PLG4     1642.0000    1329.1184   -1305.1184     578.5960     256.7151
PLG4     1652.0000    1332.1713   -1308.1713     587.5306     260.0095
PLG4     1662.0000    1335.2207   -1311.2207     596.5007     263.2089
PLG4     1672.0000    1338.2751   -1314.2751     605.5056     266.3043
PLG4     1682.0000    1341.3363   -1317.3363     614.5453     269.2895
PLG4     1692.0000    1344.3899   -1320.3899     623.6164     272.1862
PLG4     1702.0000    1347.4502   -1323.4502     632.7042     275.0228
PLG4     1712.0000    1350.5055   -1326.5055     641.8058     277.8202
PLG4     1722.0000    1353.5499   -1329.5499     650.9149     280.6051
PLG4     1732.0000    1356.6019   -1332.6019     660.0197     283.3957
PLG4     1742.0000    1359.6555   -1335.6555     669.1206     286.1973
PLG4     1752.0000    1362.7084   -1338.7084     678.2149     289.0211
PLG4     1762.0000    1365.7570   -1341.7570     687.3043     291.8652
PLG4     1772.0000    1368.8040   -1344.8040     696.3894     294.7245
PLG4     1782.0000    1371.8560   -1347.8560     705.4703     297.5921
PLG4     1792.0000    1374.9146   -1350.9146     714.5514     300.4518
PLG4     1802.0000    1377.9716   -1353.9716     723.6395     303.2912
PLG4     1812.0000    1381.0227   -1357.0227     732.7363     306.1088
PLG4     1822.0000    1384.0756   -1360.0756     741.8370     308.9120
PLG4     1832.0000    1387.1151   -1363.1151     750.9424     311.7141
PLG4     1842.0000    1390.1329   -1366.1329     760.0538     314.5206
PLG4     1852.0000    1393.1608   -1369.1608     769.1603     317.3318
PLG4     1862.0000    1396.1945   -1372.1945     778.2656     320.1407
PLG4     1872.0000    1399.2332   -1375.2332     787.3772     322.9238
PLG4     1882.0000    1402.2976   -1378.2976     796.4922     325.6671
PLG4     1892.0000    1405.3695   -1381.3695     805.6149     328.3763
PLG4     1902.0000    1408.4381   -1384.4381     814.7463     331.0596
PLG4     1912.0000    1411.4917   -1387.4917     823.8917     333.7122
PLG4     1922.0000    1414.5278   -1390.5278     833.0517     336.3345
PLG4     1932.0000    1417.5607   -1393.5607     842.2164     338.9442
PLG4     1942.0000    1420.5752   -1396.5752     851.3868     341.5548
PLG4     1952.0000    1423.5573   -1399.5573     860.5682     344.1641
PLG4     1962.0000    1426.5343   -1402.5343     869.7557     346.7578
PLG4     1972.0000    1429.5447   -1405.5447     878.9394     349.3263
PLG4     1982.0000    1432.5775   -1408.5775     888.1225     351.8704
PLG4     1992.0000    1435.5979   -1411.5979     897.3156     354.3931
PLG4     2002.0000    1438.6141   -1414.6141     906.5122     356.9081
PLG4     2012.0000    1441.6312   -1417.6312     915.7068     359.4295
PLG4     2022.0000    1444.6458   -1420.6458     924.8992     361.9615
PLG4     2032.0000    1447.6537   -1423.6537     934.0911     364.5038
PLG4     2042.0000    1450.6466   -1426.6466     943.2845     367.0576
PLG4     2052.0000    1453.6420   -1429.6420     952.4728     369.6274
PLG4     2062.0000    1456.6449   -1432.6449     961.6567     372.2037
PLG4     2072.0000    1459.6395   -1435.6395     970.8425     374.7831
PLG4     2082.0000    1462.6166   -1438.6166     980.0309     377.3736
PLG4     2092.0000    1465.5845   -1441.5845     989.2151     379.9890
PLG4     2102.0000    1468.5524   -1444.5524     998.3886     382.6419
PLG4     2112.0000    1471.5144   -1447.5144    1007.5510     385.3394
PLG4     2122.0000    1474.4623   -1450.4623    1016.7028     388.0877
PLG4     2132.0000    1477.3986   -1453.3986    1025.8419     390.8906
PLG4     2142.0000    1480.3340   -1456.3340    1034.9634     393.7508
PLG4     2152.0000    1483.2660   -1459.2660    1044.0713     396.6575
PLG4     2162.0000    1486.1973   -1462.1973    1053.1700     399.5937
PLG4     2172.0000    1489.1377   -1465.1377    1062.2645     402.5338
PLG4     2182.0000    1492.0831   -1468.0831    1071.3583     405.4710
PLG4     2192.0000    1495.0369   -1471.0369    1080.4476     408.4138
PLG4     2202.0000    1497.9939   -1473.9939    1089.5356     411.3570
PLG4     2212.0000    1500.9452   -1476.9452    1098.6255     414.3008
PLG4     2222.0000    1503.8915   -1479.8915    1107.7159     417.2475
PLG4     2232.0000    1506.8335   -1482.8335    1116.8071     420.1961
PLG4     2242.0000    1509.7772   -1485.7772    1125.9006     423.1359
PLG4     2252.0000    1512.7268   -1488.7268    1134.9971     426.0608
PLG4     2262.0000    1515.6873   -1491.6873    1144.0953     428.9688
PLG4     2272.0000    1518.6569   -1494.6569    1153.1958     431.8609
PLG4     2282.0000    1521.6206   -1497.6206    1162.3009     434.7440
PLG4     2292.0000    1524.5852   -1500.5852    1171.4076     437.6214
PLG4     2302.0000    1527.5457   -1503.5457    1180.5167     440.4952
PLG4     2312.0000    1530.5002   -1506.5002    1189.6281     443.3680
PLG4     2322.0000    1533.4607   -1509.4607    1198.7345     446.2506
PLG4     2332.0000    1536.4177   -1512.4177    1207.8356     449.1534
PLG4     2342.0000    1539.3615   -1515.3615    1216.9301     452.0900
PLG4     2352.0000    1542.2927   -1518.2927    1226.0135     455.0730
PLG4     2362.0000    1545.2306   -1521.2306    1235.0848     458.0862
PLG4     2372.0000    1548.1735   -1524.1735    1244.1512     461.1093
PLG4     2382.0000    1551.1139   -1527.1139    1253.2131     464.1483
PLG4     2392.0000    1554.0635   -1530.0635    1262.2673     467.2016
PLG4     2402.0000    1557.0231   -1533.0231    1271.3143     470.2664
PLG4     2412.0000    1559.9851   -1535.9851    1280.3525     473.3547
PLG4     2422.0000    1562.9414   -1538.9414    1289.3840     476.4680
PLG4     2432.0000    1565.8969   -1541.8969    1298.4095     479.5995
PLG4     2442.0000    1568.8547   -1544.8547    1307.4269     482.7521
PLG4     2452.0000    1571.8035   -1547.8035    1316.4375     485.9323
PLG4     2462.0000    1574.7413   -1550.7413    1325.4432     489.1364
PLG4     2472.0000    1577.6709   -1553.6709    1334.4424     492.3665
PLG4     2482.0000    1580.5996   -1556.5996    1343.4360     495.6125
PLG4     2492.0000    1583.5442   -1559.5442    1352.4235     498.8614
PLG4     2502.0000    1586.5021   -1562.5021    1361.4081     502.1058
PLG4     2512.0000    1589.4558   -1565.4558    1370.3977     505.3405
PLG4     2522.0000    1592.4113   -1568.4113    1379.3918     508.5609
PLG4     2532.0000    1595.3708   -1571.3708    1388.3890     511.7690
PLG4     2542.0000    1598.3221   -1574.3221    1397.3894     514.9757
PLG4     2552.0000    1601.2642   -1577.2642    1406.3914     518.1865
PLG4     2562.0000    1604.2046   -1580.2046    1415.3895     521.4092
PLG4     2572.0000    1607.1516   -1583.1516    1424.3813     524.6437
PLG4     2582.0000    1610.1371   -1586.1371    1433.3483     527.9118
PLG4     2592.0000    1613.2247   -1589.2247    1442.2540     531.2512
PLG4     2602.0000    1616.4548   -1592.4548    1451.0771     534.6741
PLG4     2612.0000    1619.8307   -1595.8307    1459.8101     538.1863
PLG4     2622.0000    1623.3507   -1599.3507    1468.4503     541.7854
PLG4     2632.0000    1627.0116   -1603.0116    1477.0010     545.4571
PLG4     2642.0000    1630.8214   -1606.8214    1485.4601     549.1887
PLG4     2652.0000    1634.7721   -1610.7721    1493.8297     552.9755
PLG4     2662.0000    1638.8546   -1614.8546    1502.1078     556.8231
PLG4     2672.0000    1643.0713   -1619.0713    1510.2886     560.7337
PLG4     2682.0000    1647.4174   -1623.4174    1518.3754     564.6978
PLG4     2692.0000    1651.9073   -1627.9073    1526.3621     568.7040
PLG4     2702.0000    1656.5519   -1632.5519    1534.2390     572.7511
PLG4     2712.0000    1661.3427   -1637.3427    1542.0085     576.8352
PLG4     2722.0000    1666.2775   -1642.2775    1549.6791     580.9351
PLG4     2732.0000    1671.3663   -1647.3663    1557.2595     585.0141
PLG4     2742.0000    1676.6195   -1652.6195    1564.7479     589.0546
PLG4     2752.0000    1682.0306   -1658.0306    1572.1442     593.0562
PLG4     2762.0000    1687.5891   -1663.5891    1579.4512     597.0194
PLG4     2772.0000    1693.3083   -1669.3083    1586.6572     600.9385
PLG4     2782.0000    1699.1862   -1675.1862    1593.7628     604.8062
PLG4     2792.0000    1705.1965   -1681.1965    1600.7880     608.6166
PLG4     2802.0000    1711.3180   -1687.3180    1607.7479     612.3697
PLG4     2812.0000    1717.5397   -1693.5397    1614.6432     616.0770
PLG4     2822.0000    1723.8748   -1699.8748    1621.4611     619.7350
PLG4     2832.0000    1730.3552   -1706.3552    1628.1776     623.3252
PLG4     2842.0000    1736.9872   -1712.9872    1634.7764     626.8566
PLG4     2852.0000    1743.7655   -1719.7655    1641.2433     630.3538
PLG4     2862.0000    1750.6993   -1726.6993    1647.5581     633.8236
PLG4     2872.0000    1757.7740   -1733.7740    1653.7244     637.2766
PLG4     2882.0000    1764.9607   -1740.9607    1659.7599     640.7294
PLG4     2892.0000    1772.2390   -1748.2390    1665.6761     644.1967
PLG4     2902.0000    1779.5793   -1755.5793    1671.4918     647.7033
PLG4     2912.0000    1786.9517   -1762.9517    1677.2178     651.2895
PLG4     2922.0000    1794.3351   -1770.3351    1682.8652     654.9760
PLG4     2932.0000    1801.7250   -1777.7250    1688.4440     658.7530
PLG4     2942.0000    1809.1189   -1785.1189    1693.9739     662.5935
PLG4     2952.0000    1816.5134   -1792.5134    1699.4824     666.4635
PLG4     2962.0000    1823.9244   -1799.9244    1704.9589     670.3475
PLG4     2972.0000    1831.3827   -1807.3827    1710.3518     674.2574
PLG4     2982.0000    1838.9241   -1814.9241    1715.5967     678.2090
PLG4     2992.0000    1846.5671   -1822.5671    1720.6582     682.2040
PLG4     3002.0000    1854.3184   -1830.3184    1725.5176     686.2414
PLG4     3012.0000    1862.1770   -1838.1770    1730.1782     690.3055
PLG4     3022.0000    1870.1371   -1846.1371    1734.6504     694.3839
PLG4     3032.0000    1878.1980   -1854.1980    1738.9181     698.4830
PLG4     3042.0000    1886.3539   -1862.3539    1742.9784     702.6050
PLG4     3052.0000    1894.5938   -1870.5938    1746.8473     706.7441
PLG4     3062.0000    1902.9197   -1878.9197    1750.5262     710.8843
PLG4     3072.0000    1911.3381   -1887.3381    1753.9967     715.0171
PLG4     3082.0000    1919.8376   -1895.8376    1757.2513     719.1596
PLG4     3092.0000    1928.4009   -1904.4009    1760.3044     723.3244
PLG4     3102.0000    1937.0197   -1913.0197    1763.1591     727.5155
PLG4     3112.0000    1945.6907   -1921.6907    1765.7982     731.7397
PLG4     3122.0000    1954.4137   -1930.4137    1768.2236     735.9850
PLG4     3132.0000    1963.1829   -1939.1829    1770.4502     740.2443
PLG4     3142.0000    1971.9895   -1947.9895    1772.4823     744.5233
PLG4     3152.0000    1980.8298   -1956.8298    1774.3140     748.8232
PLG4     3162.0000    1989.7086   -1965.7086    1775.9357     753.1282
PLG4     3172.0000    1998.6288   -1974.6288    1777.3477     757.4215
PLG4     3182.0000    2007.5815   -1983.5815    1778.5530     761.7101
PLG4     3192.0000    2016.5566   -1992.5566    1779.5808     765.9985
PLG4     3202.0000    2025.5570   -2001.5570    1780.4402     770.2708
PLG4     3212.0000    2034.5917   -2010.5917    1781.1173     774.5032
PLG4     3222.0000    2043.6602   -2019.6602    1781.6162     778.6879
PLG4     3232.0000    2052.7615   -2028.7615    1781.9352     782.8185
PLG4     3242.0000    2061.8948   -2037.8948    1782.0758     786.8882
PLG4     3252.0000    2071.0466   -2047.0466    1782.0402     790.9178
PLG4     3262.0000    2080.2061   -2056.2061    1781.8212     794.9247
PLG4     3272.0000    2089.3716   -2065.3716    1781.4138     798.9025
PLG4     3282.0000    2098.5408   -2074.5408    1780.8226     802.8490
PLG4     3292.0000    2107.7080   -2083.7080    1780.0535     806.7689
PLG4     3302.0000    2116.8684   -2092.8684    1779.1071     810.6662
PLG4     3312.0000    2126.0210   -2102.0210    1777.9790     814.5331
PLG4     3322.0000    2135.1687   -2111.1687    1776.6731     818.3556
PLG4     3332.0000    2144.3162   -2120.3162    1775.2007     822.1179
PLG4     3342.0000    2153.4646   -2129.4646    1773.5670     825.8105
PLG4     3352.0000    2162.6052   -2138.6052    1771.7544     829.4379
PLG4     3362.0000    2171.7300   -2147.7300    1769.7559     833.0078
PLG4     3372.0000    2180.8342   -2156.8342    1767.5735     836.5217
PLG4     3382.0000    2189.9116   -2165.9116    1765.1995     839.9805
PLG4     3392.0000    2198.9624   -2174.9624    1762.6527     843.3859
PLG4     3402.0000    2207.9929   -2183.9929    1759.9513     846.7249
PLG4     3412.0000    2217.0044   -2193.0044    1757.0795     849.9718
PLG4     3432.0000    2234.9629   -2210.9629    1750.9709     856.3093
PLG4     3460.0000    2259.8789   -2235.8789    1741.6313     865.0187
PLG4     3489.0000    2285.2798   -2261.2798    1730.8384     873.9168
PLG4     3547.0000    2333.9473   -2309.9473    1704.6909     891.4360
PLG4     3575.0000    2356.2212   -2332.2212    1689.8000     899.5563
