            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:50:52 2007


PLG1  UWI: NO 6608/10-D-3 BY2H       
PLG2  Common: 6608/10-D-3 BY2H                                                                
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      396.7000     396.7000    -372.7000       0.0000       0.0000
PLG4      452.0000     451.9982    -427.9982       0.0371       0.3891
PLG4      482.0000     481.9947    -457.9947       0.0886       0.8416
PLG4      512.0000     511.9911    -487.9911       0.1864       1.2900
PLG4      542.0000     541.9856    -517.9856       0.4603       1.7894
PLG4      572.0000     571.9733    -547.9733       1.0055       2.4470
PLG4      602.0000     601.9442    -577.9442       1.9903       3.3056
PLG4      632.0000     631.8622    -607.8622       3.8293       4.4959
PLG4      662.0000     661.7021    -637.7021       6.5624       5.9357
PLG4      692.0000     691.4209    -667.4209      10.3058       7.5560
PLG4      722.0000     720.8272    -696.8272      15.6699      10.0076
PLG4      752.0000     749.9385    -725.9385      22.1932      13.1644
PLG4      752.0001     749.9386    -725.9386      22.1933      13.1645
PLG4      782.0010     778.9255    -754.9255      29.1874      16.4602
PLG4      791.9990     788.5464    -764.5464      31.6378      17.6402
PLG4      801.9990     798.1474    -774.1474      34.1400      18.8891
PLG4      812.0000     807.7296    -783.7296      36.6841      20.2039
PLG4      822.0000     817.2949    -793.2949      39.2530      21.5838
PLG4      832.0010     826.8450    -802.8450      41.8439      23.0336
PLG4      842.0010     836.3735    -812.3735      44.4648      24.5627
PLG4      851.9990     845.8804    -821.8804      47.1133      26.1648
PLG4      861.9990     855.3688    -831.3688      49.7956      27.8303
PLG4      872.0000     864.8334    -840.8334      52.5247      29.5601
PLG4      882.0000     874.2642    -850.2642      55.3178      31.3653
PLG4      892.0010     883.6569    -859.6569      58.1929      33.2439
PLG4      902.0010     892.9982    -868.9982      61.1741      35.2061
PLG4      911.9990     902.2775    -878.2775      64.2716      37.2694
PLG4      921.9990     911.4977    -887.4977      67.4831      39.4308
PLG4      932.0000     920.6548    -896.6548      70.8129      41.6841
PLG4      942.0000     929.7445    -905.7445      74.2685      44.0152
PLG4      952.0010     938.7613    -914.7613      77.8678      46.4148
PLG4      962.0010     947.6945    -923.6945      81.6236      48.8825
PLG4      971.9990     956.5458    -932.5458      85.5202      51.4182
PLG4      981.9990     965.3104    -941.3104      89.5644      54.0303
PLG4      992.0000     973.9823    -949.9823      93.7703      56.6995
PLG4     1002.0000     982.5665    -958.5665      98.1320      59.3986
PLG4     1012.0010     991.0662    -967.0662     102.6394      62.1292
PLG4     1022.0010     999.4731    -975.4731     107.2960      64.8925
PLG4     1032.0010    1007.7849    -983.7849     112.1020      67.6882
PLG4     1041.9990    1016.0006    -992.0006     117.0512      70.5102
PLG4     1051.9990    1024.1173   -1000.1173     122.1523      73.3555
PLG4     1062.0000    1032.1426   -1008.1426     127.3977      76.2013
PLG4     1072.0000    1040.0798   -1016.0798     132.7809      79.0331
PLG4     1082.0010    1047.9126   -1023.9126     138.3197      81.8590
PLG4     1092.0010    1055.6238   -1031.6238     144.0300      84.6744
PLG4     1101.9990    1063.2035   -1039.2035     149.9141      87.4817
PLG4     1111.9990    1070.6594   -1046.6594     155.9638      90.2760
PLG4     1122.0000    1077.9974   -1053.9974     162.1738      93.0338
PLG4     1132.0000    1085.2137   -1061.2137     168.5402      95.7522
PLG4     1142.0010    1092.3279   -1068.3279     175.0288      98.4549
PLG4     1152.0010    1099.3643   -1075.3643     181.6039     101.1488
PLG4     1161.9990    1106.3420   -1082.3420     188.2422     103.8328
PLG4     1171.9990    1113.2823   -1089.2823     194.9323     106.4924
PLG4     1182.0000    1120.1812   -1096.1812     201.6822     109.1124
PLG4     1192.0000    1127.0074   -1103.0074     208.5160     111.7006
PLG4     1202.0010    1133.7233   -1109.7233     215.4592     114.2903
PLG4     1212.0010    1140.2765   -1116.2765     222.5382     116.9244
PLG4     1221.9990    1146.6379   -1122.6379     229.7619     119.6275
PLG4     1231.9990    1152.8260   -1128.8260     237.1090     122.4068
PLG4     1242.0000    1158.8538   -1134.8538     244.5595     125.2655
PLG4     1252.0000    1164.7146   -1140.7146     252.1114     128.2009
PLG4     1262.0010    1170.4180   -1146.4180     259.7641     131.1884
PLG4     1272.0010    1175.9591   -1151.9591     267.5179     134.2169
PLG4     1282.0020    1181.3451   -1157.3451     275.3703     137.2744
PLG4     1291.9990    1186.6219   -1162.6219     283.2892     140.3380
PLG4     1301.9990    1191.8217   -1167.8217     291.2600     143.4088
PLG4     1312.0000    1196.9658   -1172.9658     299.2628     146.4929
PLG4     1322.0000    1202.1064   -1178.1064     307.2620     149.5891
PLG4     1332.0010    1207.3423   -1183.3423     315.2007     152.6842
PLG4     1342.0010    1212.7278   -1188.7278     323.0435     155.7640
PLG4     1351.9990    1218.2461   -1194.2461     330.7893     158.8479
PLG4     1361.9990    1223.8185   -1199.8185     338.4876     161.9598
PLG4     1372.0000    1229.3470   -1205.3470     346.2103     165.0925
