            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:51:30 2007


PLG1  UWI: NO 6608/10-D-4 AH         
PLG2  Common: 6608/10-D-4 AH                                                                  
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      396.6999     396.6999    -372.6999       0.0000       0.0000
PLG4      396.7000     396.7000    -372.7000       0.0000       0.0000
PLG4      400.0000     400.0000    -376.0000       0.0008       0.0003
PLG4      480.2500     480.2469    -456.2469       0.5903       0.2028
PLG4      510.0000     509.9901    -485.9901       1.2111       0.2556
PLG4      539.2200     539.1893    -515.1893       2.2949       0.1595
PLG4      568.2200     568.1405    -544.1405       3.9392      -0.1413
PLG4      626.0700     625.8285    -601.8285       8.2026      -0.8340
PLG4      655.0500     654.7016    -630.7016      10.6847      -0.8838
PLG4      684.1600     683.6669    -659.6669      13.5779      -0.9168
PLG4      713.3000     712.6351    -688.6351      16.7297      -1.1414
PLG4      741.7200     740.9174    -716.9174      19.5107      -1.3392
PLG4      771.5900     770.7037    -746.7037      21.7251      -1.5357
PLG4      800.6200     799.7059    -775.7059      22.9070      -1.8465
PLG4      829.7100     828.7896    -804.7896      23.3402      -2.2608
PLG4      857.7800     856.8561    -832.8561      23.5220      -2.6598
PLG4      887.9000     886.9742    -862.9742      23.6657      -2.9658
PLG4      917.0300     916.1028    -892.1028      23.7543      -3.2284
PLG4      946.1500     945.2213    -921.2213      23.7721      -3.5148
PLG4      975.2900     974.3610    -950.3610      23.7874      -3.6355
PLG4     1004.3700    1003.4409    -979.4409      23.7442      -3.6619
PLG4     1033.5000    1032.5708   -1008.5708      23.6953      -3.6880
PLG4     1091.6200    1090.6907   -1066.6907      23.6104      -3.6500
PLG4     1149.8700    1148.9403   -1124.9403      23.4566      -3.5350
PLG4     1208.0900    1207.1599   -1183.1599      23.4052      -3.3725
PLG4     1266.3600    1265.4297   -1241.4297      23.5086      -3.2459
PLG4     1279.0000    1278.0697   -1254.0697      23.5299      -3.2193
PLG4     1290.0000    1289.0697   -1265.0697      23.5332      -3.1870
PLG4     1317.8400    1316.8937   -1292.8937      24.3251      -3.3641
PLG4     1347.8600    1346.8032   -1322.8032      26.8420      -3.5688
PLG4     1376.2200    1374.8834   -1350.8834      30.4384      -2.1109
PLG4     1406.8199    1404.8157   -1380.8157      34.6839       2.5334
PLG4     1432.9600    1429.9939   -1405.9939      38.4160       8.4717
PLG4     1461.8800    1457.4232   -1433.4232      43.0943      16.3427
PLG4     1491.9399    1485.4109   -1461.4109      48.8993      25.6354
PLG4     1518.7200    1509.8551   -1485.8551      55.0014      34.7079
PLG4     1547.9600    1536.0222   -1512.0222      62.4670      45.4034
PLG4     1579.7600    1563.8953   -1539.8953      71.3694      57.8518
PLG4     1608.5300    1588.5244   -1564.5244      80.2175      69.7968
PLG4     1637.5000    1612.6400   -1588.6400      90.0665      82.4677
PLG4     1665.3400    1635.1560   -1611.1560     100.3568      95.1996
PLG4     1693.8600    1657.4144   -1633.4144     111.5669     109.0590
PLG4     1726.1700    1681.5378   -1657.5378     124.8279     125.9678
PLG4     1753.2500    1700.9192   -1676.9192     136.3377     140.9718
PLG4     1783.7700    1721.8506   -1697.8506     149.7982     158.6355
PLG4     1812.5699    1740.6525   -1716.6525     163.1258     175.9027
PLG4     1841.5100    1758.5841   -1734.5841     177.3328     193.6228
PLG4     1869.1300    1774.8140   -1750.8140     191.4127     210.9754
PLG4     1899.9600    1791.5532   -1767.5532     207.9451     230.8883
PLG4     1928.4800    1805.5923   -1781.5923     224.4059     249.4658
PLG4     1956.0400    1817.8728   -1793.8728     241.0301     267.6915
PLG4     1988.0500    1830.2823   -1806.2823     260.8817     289.5119
PLG4     2016.0400    1839.6342   -1815.6342     278.4921     309.1516
PLG4     2044.5699    1847.9248   -1823.9248     296.4637     329.6963
PLG4     2073.7900    1855.8589   -1831.8589     314.7314     351.0771
PLG4     2103.8201    1863.9396   -1839.9396     333.4900     373.0907
PLG4     2131.7100    1871.3130   -1847.3130     351.0529     393.4627
PLG4     2160.3701    1878.9745   -1854.9745     369.0547     414.4065
PLG4     2189.5701    1886.6674   -1862.6674     387.2207     435.9340
PLG4     2219.2900    1894.4071   -1870.4071     405.4222     458.1164
PLG4     2247.6101    1901.9491   -1877.9491     422.6932     479.2552
PLG4     2276.6899    1909.8718   -1885.8718     440.5225     500.8186
PLG4     2306.0200    1918.1210   -1894.1210     458.3630     522.5879
PLG4     2334.6899    1926.6084   -1902.6084     475.5706     543.8906
PLG4     2365.2700    1935.8752   -1911.8752     493.8986     566.5479
PLG4     2394.0601    1944.2736   -1920.2736     511.4963     587.7279
PLG4     2422.2800    1952.4441   -1928.4441     528.8967     608.3874
PLG4     2453.7300    1961.6759   -1937.6759     548.1896     631.4450
PLG4     2483.3000    1970.1930   -1946.1930     566.2545     653.2509
PLG4     2511.9199    1978.5010   -1954.5010     583.5197     674.5106
PLG4     2540.8201    1987.0543   -1963.0543     600.6818     696.1326
PLG4     2569.6599    1995.5367   -1971.5367     617.6841     717.8282
PLG4     2599.2700    2004.1025   -1980.1025     635.0699     740.2137
PLG4     2627.5100    2012.2035   -1988.2035     651.4318     761.7579
PLG4     2655.4900    2020.1854   -1996.1854     667.4641     783.2552
PLG4     2684.3999    2028.3964   -2004.3964     684.0414     805.4712
PLG4     2713.6799    2036.6879   -2012.6879     700.9941     827.8582
PLG4     2745.8999    2045.8011   -2021.8011     719.8480     852.3448
PLG4     2772.7500    2053.4607   -2029.4607     735.6951     872.6210
PLG4     2800.7400    2061.6675   -2037.6675     752.0964     893.7650
PLG4     2830.2600    2070.2368   -2046.2368     769.5270     915.9937
PLG4     2858.8601    2078.2280   -2054.2280     786.7360     937.3935
PLG4     2887.2900    2086.2883   -2062.2883     803.7098     958.7280
PLG4     2946.7500    2103.8215   -2079.8215     838.6502    1003.5298
PLG4     2974.4500    2112.1675   -2088.1675     854.9892    1024.2820
PLG4     3003.8501    2121.0425   -2097.0425     872.4775    1046.1853
PLG4     3060.1699    2137.9924   -2113.9924     905.6027    1088.4617
PLG4     3121.2500    2156.1816   -2132.1816     941.3527    1134.5251
PLG4     3151.3301    2164.9385   -2140.9385     958.9664    1157.2820
PLG4     3179.7400    2173.1284   -2149.1284     975.5741    1178.8280
PLG4     3209.2700    2181.6167   -2157.6167     992.9834    1201.1189
PLG4     3266.6299    2197.9851   -2173.9851    1027.4229    1243.9680
PLG4     3296.4500    2206.4270   -2182.4270    1045.4796    1266.1473
PLG4     3354.2600    2223.0310   -2199.0310    1081.0258    1308.6024
PLG4     3382.5000    2231.2805   -2207.2805    1098.6948    1329.0289
PLG4     3412.8201    2240.1453   -2216.1453    1117.5103    1351.0901
PLG4     3440.9399    2248.4583   -2224.4583    1134.8438    1371.6125
PLG4     3473.3201    2257.9551   -2233.9551    1155.0179    1395.0914
PLG4     3501.5300    2266.1228   -2242.1228    1172.7308    1415.4713
PLG4     3559.5100    2282.9392   -2258.9392    1208.7336    1457.6924
PLG4     3589.8799    2291.7959   -2267.7959    1227.2604    1480.0673
PLG4     3620.2200    2300.7070   -2276.7070    1245.5846    1502.5470
PLG4     3649.8101    2309.3389   -2285.3389    1263.2284    1524.6769
PLG4     3677.5601    2317.2527   -2293.2527    1279.6473    1545.6016
PLG4     3706.8000    2325.3000   -2301.3000    1296.8838    1567.8073
PLG4     3763.3799    2341.0056   -2317.0056    1329.2200    1611.4957
PLG4     3790.3301    2348.5200   -2324.5200    1344.3998    1632.4576
PLG4     3909.1101    2383.1274   -2359.1274    1410.7689    1724.6749
PLG4     3937.6599    2392.1631   -2368.1631    1426.6882    1746.5833
PLG4     3997.2900    2411.1252   -2387.1252    1462.5138    1790.2921
PLG4     4024.9500    2419.5139   -2395.5139    1480.1825    1809.8495
PLG4     4053.0901    2427.6638   -2403.6638    1498.3477    1829.7358
PLG4     4082.8501    2436.2036   -2412.2036    1517.4252    1850.9197
PLG4     4116.7798    2445.9653   -2421.9653    1538.6620    1875.5142
PLG4     4169.4600    2460.9946   -2436.9946    1570.6334    1914.5902
PLG4     4196.4199    2468.6472   -2444.6472    1586.6199    1934.9054
PLG4     4226.0400    2477.1145   -2453.1145    1604.2446    1957.1543
PLG4     4251.0000    2484.2871   -2460.2871    1619.2119    1975.7965
