            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:51:41 2007


PLG1  UWI: NO 6608/10-D-4 AHT2       
PLG2  Common: 6608/10-D-4 AHT2                                                                
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      396.7000     396.7000    -372.7000       0.0000       0.0000
PLG4      400.0000     400.0000    -376.0000       0.0000       0.0000
PLG4      430.0000     430.0000    -406.0000      -0.0017       0.0287
PLG4      460.0000     459.9999    -435.9999       0.0028       0.1042
PLG4      490.0000     489.9995    -465.9995       0.0877       0.2158
PLG4      520.0000     519.9938    -495.9938       0.6232       0.2192
PLG4      550.0000     549.9706    -525.9706       1.7905       0.1188
PLG4      580.0000     579.9236    -555.9236       3.4594       0.0173
PLG4      610.0000     609.8530    -585.8530       5.5013      -0.2086
PLG4      640.0000     639.7543    -615.7543       7.9147      -0.4722
PLG4      670.0000     669.6193    -645.6193      10.7386      -0.7765
PLG4      700.0000     699.4648    -675.4648      13.7650      -1.0559
PLG4      730.0000     729.3147    -705.3147      16.7573      -1.2342
PLG4      760.0000     759.2004    -735.2004      19.3610      -1.4070
PLG4      790.0000     789.1512    -765.1512      21.0302      -1.5976
PLG4      820.0000     819.1420    -795.1420      21.6645      -1.9004
PLG4      850.0000     849.1389    -825.1389      21.8119      -2.3069
PLG4      880.0000     879.1359    -855.1359      21.8983      -2.7191
PLG4      910.0000     909.1335    -885.1335      21.9657      -3.0917
PLG4      940.0000     939.1318    -915.1318      21.9932      -3.3993
PLG4      970.0000     969.1313    -945.1313      21.9789      -3.5608
PLG4     1000.0000     999.1312    -975.1312      21.9455      -3.6315
PLG4     1030.0000    1029.1311   -1005.1311      21.9319      -3.6349
PLG4     1060.0000    1059.1311   -1035.1311      21.9042      -3.5925
PLG4     1090.0000    1089.1310   -1065.1310      21.8531      -3.5363
PLG4     1120.0000    1119.1309   -1095.1309      21.7924      -3.4758
PLG4     1150.0000    1149.1307   -1125.1307      21.7356      -3.4074
PLG4     1180.0000    1179.1306   -1155.1306      21.6774      -3.3601
PLG4     1210.0000    1209.1305   -1185.1305      21.6289      -3.3343
PLG4     1240.0000    1239.1304   -1215.1304      21.5823      -3.2732
PLG4     1270.0000    1269.1304   -1245.1304      21.5678      -3.2619
PLG4     1300.0000    1299.1230   -1275.1230      22.0842      -3.5422
PLG4     1330.0000    1329.0911   -1305.0911      23.3873      -3.9709
PLG4     1360.0000    1359.0155   -1335.0155      25.4784      -3.8680
PLG4     1390.0000    1388.8231   -1364.8231      28.7777      -3.2095
PLG4     1420.0000    1418.3993   -1394.3993      33.5652      -1.7978
PLG4     1450.0000    1447.6045   -1423.6045      39.7463       1.1103
PLG4     1480.0000    1476.3912   -1452.3912      46.3745       6.2787
PLG4     1490.0000    1485.8839   -1461.8839      48.4809       8.6119
PLG4     1500.0000    1495.3239   -1471.3239      50.5233      11.2026
PLG4     1510.0000    1504.7032   -1480.7032      52.5627      14.0069
PLG4     1520.0000    1514.0146   -1490.0146      54.6536      16.9940
PLG4     1530.0000    1523.2627   -1499.2627      56.8221      20.1196
PLG4     1540.0000    1532.4532   -1508.4532      59.0876      23.3444
PLG4     1550.0000    1541.5764   -1517.5764      61.4761      26.6698
PLG4     1560.0000    1550.6115   -1526.6115      64.0155      30.1216
PLG4     1570.0000    1559.5458   -1535.5458      66.7214      33.7064
PLG4     1580.0000    1568.3755   -1544.3755      69.5931      37.4193
PLG4     1590.0000    1577.0999   -1553.0999      72.6141      41.2605
PLG4     1600.0000    1585.7253   -1561.7253      75.7691      45.2158
PLG4     1610.0000    1594.2758   -1570.2758      79.0283      49.2490
PLG4     1620.0000    1602.7733   -1578.7733      82.3537      53.3395
PLG4     1630.0000    1611.1958   -1587.1958      85.7442      57.5304
PLG4     1640.0000    1619.4982   -1595.4982      89.2300      61.8795
PLG4     1650.0000    1627.6801   -1603.6801      92.8121      66.3764
PLG4     1660.0000    1635.7350   -1611.7350      96.5025      71.0126
PLG4     1670.0000    1643.6390   -1619.6390     100.3033      75.8162
PLG4     1680.0000    1651.3916   -1627.3916     104.1908      80.7942
PLG4     1690.0000    1659.0509   -1635.0509     108.1299      85.8753
PLG4     1700.0000    1666.6884   -1642.6884     112.0824      90.9790
PLG4     1710.0000    1674.3297   -1650.3297     116.0315      96.0794
PLG4     1720.0000    1681.9778   -1657.9778     119.9780     101.1718
PLG4     1730.0000    1689.6196   -1665.6196     123.9348     106.2654
PLG4     1740.0000    1697.2655   -1673.2655     127.8878     111.3561
PLG4     1750.0000    1704.9293   -1680.9293     131.8082     116.4449
PLG4     1760.0000    1712.6088   -1688.6088     135.6985     121.5332
PLG4     1770.0000    1720.3005   -1696.3005     139.5674     126.6193
PLG4     1780.0000    1728.0056   -1704.0056     143.4133     131.7026
PLG4     1790.0000    1735.7185   -1711.7185     147.2429     136.7864
PLG4     1800.0000    1743.4353   -1719.4353     151.0483     141.8825
PLG4     1810.0000    1751.1648   -1727.1648     154.8275     146.9787
