            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:52:15 2007


PLG1  UWI: NO 6608/10-E-1 H          
PLG2  Common: 6608/10-E-1 H                                                                   
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      402.0000     402.0000    -378.0000       0.0000       0.0000
PLG4      404.0000     404.0000    -380.0000       0.0000       0.0000
PLG4      430.0000     429.9999    -405.9999       0.0381       0.0058
PLG4      460.0000     459.9998    -435.9998       0.0957       0.0378
PLG4      490.0000     489.9997    -465.9997       0.1751       0.0204
PLG4      520.0000     519.9985    -495.9985       0.2687      -0.2142
PLG4      550.0000     549.9930    -525.9930       0.5470      -0.6911
PLG4      580.0000     579.9694    -555.9694       1.4240      -1.4580
PLG4      610.0000     609.8965    -585.8965       3.0328      -2.7627
PLG4      640.0000     639.7470    -615.7470       5.1714      -4.8363
PLG4      670.0000     669.4974    -645.4974       7.4760      -7.9171
PLG4      700.0000     699.0706    -675.0706       9.5434     -12.4836
PLG4      730.0000     728.2956    -704.2956      11.2444     -19.0114
PLG4      740.0000     737.9254    -713.9254      11.7591     -21.6567
PLG4      750.0000     747.5060    -723.5060      12.2705     -24.4759
PLG4      760.0000     757.0573    -733.0573      12.7984     -27.3905
PLG4      770.0000     766.5750    -742.5750      13.3775     -30.4030
PLG4      780.0000     776.0425    -752.0425      14.0488     -33.5513
PLG4      790.0000     785.4480    -761.4480      14.8311     -36.8562
PLG4      800.0000     794.7971    -770.7971      15.7122     -40.2935
PLG4      810.0000     804.1028    -780.1028      16.6752     -43.8254
PLG4      820.0000     813.3747    -789.3747      17.7032     -47.4277
PLG4      830.0000     822.6202    -798.6202      18.7862     -51.0811
PLG4      840.0000     831.8479    -807.8479      19.9123     -54.7664
PLG4      850.0000     841.0760    -817.0760      21.0585     -58.4445
PLG4      860.0000     850.3188    -826.3188      22.2146     -62.0824
PLG4      870.0000     859.5712    -835.5712      23.3812     -65.6923
PLG4      880.0000     868.8203    -844.8203      24.5602     -69.3067
PLG4      890.0000     878.0561    -854.0561      25.7436     -72.9535
PLG4      900.0000     887.2761    -863.2761      26.9285     -76.6397
PLG4      910.0000     896.4872    -872.4872      28.1114     -80.3485
PLG4      920.0000     905.6937    -881.6937      29.2896     -84.0705
PLG4      930.0000     914.8901    -890.8901      30.4739     -87.8151
PLG4      940.0000     924.0680    -900.0680      31.6818     -91.5976
PLG4      950.0000     933.2208    -909.2208      32.9260     -95.4289
PLG4      960.0000     942.3523    -918.3523      34.1968     -99.3018
PLG4      970.0000     951.4781    -927.4781      35.4736    -103.1863
PLG4      980.0000     960.6118    -936.6118      36.7455    -107.0538
PLG4      990.0000     969.7582    -945.7582      38.0068    -110.8946
PLG4     1000.0000     978.9163    -954.9163      39.2546    -114.7122
PLG4     1010.0000     988.0820    -964.0820      40.4890    -118.5156
PLG4     1020.0000     997.2501    -973.2501      41.7113    -122.3170
PLG4     1030.0000    1006.4176    -982.4176      42.9305    -126.1211
PLG4     1040.0000    1015.5875    -991.5875      44.1476    -129.9200
PLG4     1050.0000    1024.7612   -1000.7612      45.3551    -133.7127
PLG4     1060.0000    1033.9319   -1009.9319      46.5584    -137.5142
PLG4     1070.0000    1043.0881   -1019.0881      47.7687    -141.3480
PLG4     1080.0000    1052.2200   -1028.2200      48.9918    -145.2355
PLG4     1090.0000    1061.3257   -1037.3257      50.2278    -149.1798
PLG4     1100.0000    1070.4126   -1046.4126      51.4745    -153.1640
PLG4     1110.0000    1079.4915   -1055.4915      52.7302    -157.1636
PLG4     1120.0000    1088.5740   -1064.5740      53.9881    -161.1543
PLG4     1130.0000    1097.6681   -1073.6681      55.2376    -165.1210
PLG4     1140.0000    1106.7764   -1082.7764      56.4734    -169.0595
PLG4     1150.0000    1115.8987   -1091.8987      57.6917    -172.9710
PLG4     1160.0000    1125.0320   -1101.0320      58.8935    -176.8617
PLG4     1170.0000    1134.1716   -1110.1716      60.0840    -180.7410
PLG4     1180.0000    1143.3138   -1119.3138      61.2681    -184.6163
PLG4     1190.0000    1152.4578   -1128.4578      62.4527    -188.4874
PLG4     1200.0000    1161.6063   -1137.6063      63.6426    -192.3459
PLG4     1210.0000    1170.7598   -1146.7598      64.8380    -196.1910
PLG4     1220.0000    1179.9175   -1155.9175      66.0353    -200.0255
PLG4     1230.0000    1189.0822   -1165.0822      67.2331    -203.8431
PLG4     1240.0000    1198.2531   -1174.2531      68.4319    -207.6453
PLG4     1250.0000    1207.4282   -1183.4282      69.6305    -211.4375
PLG4     1260.0000    1216.6089   -1192.6089      70.8315    -215.2154
PLG4     1270.0000    1225.7937   -1201.7937      72.0384    -218.9814
PLG4     1280.0000    1234.9813   -1210.9813      73.2510    -222.7388
PLG4     1290.0000    1244.1720   -1220.1720      74.4714    -226.4861
PLG4     1300.0000    1253.3644   -1229.3644      75.7047    -230.2250
PLG4     1310.0000    1262.5594   -1238.5594      76.9535    -233.9519
PLG4     1320.0000    1271.7581   -1247.7581      78.2189    -237.6648
PLG4     1330.0000    1280.9620   -1256.9620      79.4853    -241.3637
PLG4     1340.0000    1290.1793   -1266.1793      80.7224    -245.0394
PLG4     1350.0000    1299.3983   -1275.3983      81.9257    -248.7222
PLG4     1360.0000    1308.5813   -1284.5813      83.1069    -252.5003
PLG4     1370.0000    1317.7057   -1293.7057      84.2491    -256.4294
PLG4     1380.0000    1326.7646   -1302.7646      85.3240    -260.5252
PLG4     1390.0000    1335.7484   -1311.7484      86.3218    -264.8023
PLG4     1400.0000    1344.6703   -1320.6703      87.2574    -269.2207
PLG4     1410.0000    1353.5625   -1329.5625      88.1612    -273.7054
PLG4     1420.0000    1362.4463   -1338.4463      89.0596    -278.2078
PLG4     1430.0000    1371.3329   -1347.3329      89.9676    -282.7027
PLG4     1440.0000    1380.2290   -1356.2290      90.8828    -287.1772
PLG4     1450.0000    1389.1367   -1365.1367      91.7931    -291.6296
PLG4     1460.0000    1398.0547   -1374.0547      92.6948    -296.0632
PLG4     1470.0000    1406.9801   -1382.9801      93.5907    -300.4829
PLG4     1480.0000    1415.9131   -1391.9131      94.4826    -304.8882
PLG4     1490.0000    1424.8553   -1400.8553      95.3727    -309.2749
PLG4     1500.0000    1433.8063   -1409.8063      96.2616    -313.6442
PLG4     1510.0000    1442.7661   -1418.7661      97.1500    -317.9953
PLG4     1520.0000    1451.7413   -1427.7413      98.0363    -322.3149
PLG4     1530.0000    1460.7361   -1436.7361      98.9209    -326.5940
PLG4     1540.0000    1469.7427   -1445.7427      99.8158    -330.8461
PLG4     1550.0000    1478.7554   -1454.7554     100.7302    -335.0811
PLG4     1560.0000    1487.7809   -1463.7809     101.6523    -339.2872
PLG4     1570.0000    1496.8232   -1472.8232     102.5722    -343.4573
PLG4     1580.0000    1505.8785   -1481.8785     103.4959    -347.5983
PLG4     1590.0000    1514.9482   -1490.9482     104.4237    -351.7068
