            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:52:58 2007


PLG1  UWI: NO 6608/10-E-3 AH         
PLG2  Common: 6608/10-E-3 AH                                                                  
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      22.0000       0.0000       0.0000
PLG4      401.9999     401.9999    -379.9999       0.0000       0.0000
PLG4      402.0000     402.0000    -380.0000      -0.0000       0.0000
PLG4      420.0000     420.0000    -398.0000      -0.0157       0.0235
PLG4      450.0000     449.9999    -427.9999      -0.0406       0.0687
PLG4      480.0000     479.9987    -457.9987       0.0914      -0.1150
PLG4      510.0000     509.9937    -487.9937       0.3496      -0.5946
PLG4      540.0000     539.9883    -517.9883       0.6159      -1.0971
PLG4      570.0000     569.9836    -547.9836       0.8963      -1.5422
PLG4      600.0000     599.9491    -577.9491       1.3160      -2.8301
PLG4      630.0000     629.8486    -607.8486       1.7621      -5.2363
PLG4      660.0000     659.7050    -637.7050       1.7369      -8.1580
PLG4      690.0000     689.4881    -667.4881       0.9033     -11.6454
PLG4      720.0000     719.1327    -697.1327      -0.7318     -15.9361
PLG4      750.0000     748.5327    -726.5327      -3.1202     -21.3872
PLG4      780.0000     777.6568    -755.6568      -6.0481     -27.9553
PLG4      810.0000     806.6356    -784.6356      -9.3531     -34.9757
PLG4      820.0000     816.2698    -794.2698     -10.5545     -37.3712
PLG4      830.0000     825.8817    -803.8817     -11.7885     -39.8387
PLG4      840.0000     835.4792    -813.4792     -13.0544     -42.3456
PLG4      850.0000     845.0490    -823.0490     -14.3846     -44.9238
PLG4      860.0000     854.5811    -832.5811     -15.7953     -47.5972
PLG4      870.0000     864.0767    -842.0767     -17.2910     -50.3532
PLG4      880.0000     873.5122    -851.5122     -18.9299     -53.2306
PLG4      890.0000     882.8733    -860.8733     -20.7230     -56.2558
PLG4      900.0000     892.1648    -870.1648     -22.6174     -59.4301
PLG4      910.0000     901.3846    -879.3846     -24.5816     -62.7667
PLG4      920.0000     910.5231    -888.5231     -26.6132     -66.2820
PLG4      930.0000     919.5716    -897.5716     -28.7115     -69.9857
PLG4      940.0000     928.5383    -906.5383     -30.8460     -73.8638
PLG4      950.0000     937.4384    -915.4384     -32.9821     -77.8916
PLG4      960.0000     946.2761    -924.2761     -35.0818     -82.0729
PLG4      970.0000     955.0489    -933.0489     -37.1213     -86.4176
PLG4      980.0000     963.7563    -941.7563     -39.1241     -90.9085
PLG4      990.0000     972.3946    -950.3946     -41.1343     -95.5277
PLG4     1000.0000     980.9617    -958.9617     -43.1807    -100.2622
PLG4     1010.0000     989.4560    -967.4560     -45.2666    -105.1094
PLG4     1020.0000     997.8696    -975.8696     -47.4005    -110.0748
PLG4     1030.0000    1006.1983    -984.1983     -49.5951    -115.1557
PLG4     1040.0000    1014.4440    -992.4440     -51.8506    -120.3442
PLG4     1050.0000    1022.6174   -1000.6174     -54.1623    -125.6215
PLG4     1060.0000    1030.7234   -1008.7234     -56.5410    -130.9725
PLG4     1070.0000    1038.7661   -1016.7661     -58.9970    -136.3838
PLG4     1080.0000    1046.7629   -1024.7629     -61.5174    -141.8333
PLG4     1090.0000    1054.7289   -1032.7289     -64.1182    -147.2904
PLG4     1100.0000    1062.6758   -1040.6758     -66.8163    -152.7280
