            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:53:08 2007


PLG1  UWI: NO 6608/10-E-3 AHT2       
PLG2  Common: 6608/10-E-3 AHT2                                                                
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      22.0000       0.0000       0.0000
PLG4      400.6999     400.6999    -378.6999       0.0000       0.0000
PLG4      400.7000     400.7000    -378.7000       0.0000       0.0000
PLG4      422.0000     421.9999    -399.9999      -0.0435       0.0099
PLG4      452.0000     451.9996    -429.9996      -0.1527      -0.0655
PLG4      482.0000     481.9967    -459.9967      -0.0901      -0.4473
PLG4      512.0000     511.9908    -489.9908       0.1690      -0.9850
PLG4      542.0000     541.9855    -519.9855       0.4566      -1.4707
PLG4      572.0000     571.9806    -549.9806       0.7579      -1.9209
PLG4      602.0000     601.9457    -579.9457       1.2905      -3.1709
PLG4      632.0000     631.8449    -609.8449       1.7548      -5.5775
PLG4      662.0000     661.6999    -639.6999       1.7573      -8.5134
PLG4      692.0000     691.4816    -669.4816       0.9639     -12.0225
PLG4      722.0000     721.1259    -699.1259      -0.6534     -16.3219
PLG4      752.0000     750.5257    -728.5257      -3.0305     -21.7784
PLG4      782.0000     779.6498    -757.6498      -5.9612     -28.3454
PLG4      812.0000     808.6282    -786.6282      -9.2638     -35.3687
PLG4      822.0000     818.2623    -796.2623     -10.4653     -37.7643
PLG4      832.0000     827.8742    -805.8742     -11.6993     -40.2318
PLG4      842.0000     837.4717    -815.4717     -12.9651     -42.7387
PLG4      852.0000     847.0416    -825.0416     -14.2950     -45.3171
PLG4      862.0000     856.5737    -834.5737     -15.7055     -47.9906
PLG4      872.0000     866.0692    -844.0692     -17.2008     -50.7469
PLG4      882.0000     875.5047    -853.5047     -18.8385     -53.6251
PLG4      892.0000     884.8658    -862.8658     -20.6313     -56.6505
PLG4      902.0000     894.1573    -872.1573     -22.5258     -59.8248
PLG4      912.0000     903.3771    -881.3771     -24.4903     -63.1612
PLG4      922.0000     912.5156    -890.5156     -26.5222     -66.6763
PLG4      932.0000     921.5641    -899.5641     -28.6210     -70.3799
PLG4      942.0000     930.5308    -908.5308     -30.7560     -74.2577
PLG4      952.0000     939.4308    -917.4308     -32.8925     -78.2854
PLG4      962.0000     948.2684    -926.2684     -34.9931     -82.4665
PLG4      972.0000     957.0411    -935.0411     -37.0334     -86.8111
PLG4      982.0000     965.7484    -943.7484     -39.0366     -91.3018
PLG4      992.0000     974.3867    -952.3867     -41.0469     -95.9210
PLG4     1002.0000     982.9539    -960.9539     -43.0933    -100.6555
PLG4     1012.0000     991.4481    -969.4481     -45.1793    -105.5026
PLG4     1022.0000     999.8618    -977.8618     -47.3131    -110.4681
PLG4     1032.0000    1008.1904    -986.1904     -49.5076    -115.5490
PLG4     1042.0000    1016.4361    -994.4361     -51.7631    -120.7375
PLG4     1052.0000    1024.6095   -1002.6095     -54.0748    -126.0149
PLG4     1062.0000    1032.7155   -1010.7155     -56.4533    -131.3660
PLG4     1072.0000    1040.7582   -1018.7582     -58.9092    -136.7773
PLG4     1082.0000    1048.7550   -1026.7550     -61.4295    -142.2269
PLG4     1092.0000    1056.7208   -1034.7208     -64.0302    -147.6841
PLG4     1102.0000    1064.6676   -1042.6676     -66.7283    -153.1218
PLG4     1112.0000    1072.6001   -1050.6001     -69.5025    -158.5420
PLG4     1122.0000    1080.5283   -1058.5283     -72.3355    -163.9381
PLG4     1132.0000    1088.4724   -1066.4724     -75.2103    -169.2884
PLG4     1142.0000    1096.4271   -1074.4271     -78.1158    -174.6063
PLG4     1152.0000    1104.3696   -1082.3696     -81.0517    -179.9257
PLG4     1162.0000    1112.2797   -1090.2797     -84.0396    -185.2645
PLG4     1172.0000    1120.1393   -1098.1393     -87.1113    -190.6301
PLG4     1182.0000    1127.9408   -1105.9408     -90.2873    -196.0197
PLG4     1192.0000    1135.6919   -1113.6919     -93.5960    -201.4021
PLG4     1202.0000    1143.4098   -1121.4098     -97.0406    -206.7470
PLG4     1212.0000    1151.1010   -1129.1010    -100.5764    -212.0708
PLG4     1222.0000    1158.7372   -1136.7372    -104.2078    -217.4093
PLG4     1232.0000    1166.2744   -1144.2744    -107.9799    -222.7905
PLG4     1242.0000    1173.6918   -1151.6918    -111.8912    -228.2386
PLG4     1252.0000    1180.9891   -1158.9891    -115.9143    -233.7668
PLG4     1262.0000    1188.1642   -1166.1642    -120.0285    -239.3871
PLG4     1272.0000    1195.2141   -1173.2141    -124.2226    -245.1060
PLG4     1282.0000    1202.1145   -1180.1145    -128.5036    -250.9414
PLG4     1292.0000    1208.8179   -1186.8179    -132.8870    -256.9284
PLG4     1302.0000    1215.2479   -1193.2479    -137.4015    -263.1137
PLG4     1312.0000    1221.3531   -1199.3531    -142.0540    -269.5220
PLG4     1322.0000    1227.1406   -1205.1406    -146.8251    -276.1349
PLG4     1332.0000    1232.6350   -1210.6350    -151.7064    -282.9154
PLG4     1342.0000    1237.9133   -1215.9133    -156.6758    -289.8031
PLG4     1352.0000    1243.0742   -1221.0742    -161.6892    -296.7480
PLG4     1362.0000    1248.1895   -1226.1895    -166.7320    -303.7054
PLG4     1372.0000    1253.2686   -1231.2686    -171.8049    -310.6672
PLG4     1382.0000    1258.2070   -1236.2070    -176.9287    -317.6924
PLG4     1392.0000    1262.8574   -1240.8574    -182.1668    -324.8284
PLG4     1402.0000    1267.1765   -1245.1765    -187.5464    -332.0668
PLG4     1412.0000    1271.2494   -1249.2494    -193.0567    -339.3500
PLG4     1422.0000    1275.1776   -1253.1776    -198.6746    -346.6306
PLG4     1432.0000    1279.0286   -1257.0286    -204.3615    -353.8990
PLG4     1442.0000    1282.8457   -1260.8457    -210.0963    -361.1475
PLG4     1452.0000    1286.7120   -1264.7120    -215.8429    -368.3604
PLG4     1462.0000    1290.6819   -1268.6819    -221.5559    -375.5438
PLG4     1472.0000    1294.8049   -1272.8049    -227.2265    -382.6740
PLG4     1482.0000    1299.0232   -1277.0232    -232.8744    -389.7668
PLG4     1492.0000    1303.2256   -1281.2256    -238.5188    -396.8717
PLG4     1502.0000    1307.4731   -1285.4731    -244.1409    -403.9675
PLG4     1512.0000    1311.7900   -1289.7900    -249.7351    -411.0434
PLG4     1522.0000    1316.1140   -1294.1140    -255.3235    -418.1196
PLG4     1532.0000    1320.3907   -1298.3907    -260.9216    -425.2169
PLG4     1542.0000    1324.6106   -1302.6106    -266.5150    -432.3517
PLG4     1552.0000    1328.7805   -1306.7805    -272.0870    -439.5325
PLG4     1562.0000    1332.9099   -1310.9099    -277.6313    -446.7580
PLG4     1572.0000    1337.0035   -1315.0035    -283.1469    -454.0258
PLG4     1582.0000    1341.0366   -1319.0366    -288.6506    -461.3362
PLG4     1592.0000    1344.9961   -1322.9961    -294.1622    -468.6809
PLG4     1602.0000    1348.8842   -1326.8842    -299.6908    -476.0510
PLG4     1612.0000    1352.6924   -1330.6924    -305.2451    -483.4432
PLG4     1622.0000    1356.4004   -1334.4004    -310.8290    -490.8641
PLG4     1632.0000    1359.9955   -1337.9955    -316.4389    -498.3209
PLG4     1642.0000    1363.4713   -1341.4713    -322.0693    -505.8185
PLG4     1652.0000    1366.8365   -1344.8365    -327.7200    -513.3514
PLG4     1662.0000    1370.1169   -1348.1169    -333.3907    -520.9067
PLG4     1672.0000    1373.3429   -1351.3429    -339.0719    -528.4775
PLG4     1682.0000    1376.5548   -1354.5548    -344.7619    -536.0476
PLG4     1692.0000    1379.7700   -1357.7700    -350.4631    -543.6079
PLG4     1702.0000    1382.9869   -1360.9869    -356.1693    -551.1638
PLG4     1712.0000    1386.2079   -1364.2079    -361.8773    -558.7165
PLG4     1722.0000    1389.4330   -1367.4330    -367.5824    -566.2697
PLG4     1732.0000    1392.6771   -1370.6771    -373.2731    -573.8256
PLG4     1742.0000    1395.9493   -1373.9493    -378.9639    -581.3693
PLG4     1752.0000    1399.2256   -1377.2256    -384.6696    -588.8999
PLG4     1762.0000    1402.4928   -1380.4928    -390.3878    -596.4250
PLG4     1772.0000    1405.7485   -1383.7485    -396.1241    -603.9414
PLG4     1782.0000    1409.0001   -1387.0001    -401.8782    -611.4459
PLG4     1792.0000    1412.2583   -1390.2583    -407.6356    -618.9450
PLG4     1802.0000    1415.5453   -1393.5453    -413.3856    -626.4372
PLG4     1812.0000    1418.8702   -1396.8702    -419.1445    -633.9058
PLG4     1822.0000    1422.2223   -1400.2223    -424.9209    -641.3487
PLG4     1832.0000    1425.5941   -1403.5941    -430.7002    -648.7805
PLG4     1842.0000    1428.9585   -1406.9585    -436.4765    -656.2178
PLG4     1852.0000    1432.3121   -1410.3121    -442.2396    -663.6703
PLG4     1862.0000    1435.6617   -1413.6617    -447.9814    -671.1411
PLG4     1872.0000    1439.0048   -1417.0048    -453.7122    -678.6232
PLG4     1882.0000    1442.3856   -1420.3856    -459.4309    -686.0975
PLG4     1892.0000    1445.8541   -1423.8541    -465.1341    -693.5435
PLG4     1902.0000    1449.3726   -1427.3726    -470.8312    -700.9708
PLG4     1912.0000    1452.8926   -1430.8926    -476.5305    -708.3956
PLG4     1922.0000    1456.4371   -1434.4371    -482.2254    -715.8120
PLG4     1932.0000    1460.0225   -1438.0225    -487.9077    -723.2186
PLG4     1942.0000    1463.6298   -1441.6298    -493.5789    -730.6229
PLG4     1952.0000    1467.1956   -1445.1956    -499.2625    -738.0379
PLG4     1962.0000    1470.5944   -1448.5944    -504.9901    -745.4969
PLG4     1972.0000    1473.8245   -1451.8245    -510.7514    -753.0051
PLG4     1982.0000    1476.9744   -1454.9744    -516.5225    -760.5399
PLG4     1992.0000    1480.0729   -1458.0729    -522.2980    -768.0925
PLG4     2002.0000    1483.1705   -1461.1705    -528.0764    -775.6434
PLG4     2012.0000    1486.2798   -1464.2798    -533.8734    -783.1751
PLG4     2022.0000    1489.3633   -1467.3633    -539.6966    -790.6972
PLG4     2032.0000    1492.4402   -1470.4402    -545.5165    -798.2245
PLG4     2042.0000    1495.5370   -1473.5370    -551.3298    -805.7488
PLG4     2052.0000    1498.6404   -1476.6404    -557.1536    -813.2623
PLG4     2062.0000    1501.7521   -1479.7521    -562.9863    -820.7654
PLG4     2072.0000    1504.8729   -1482.8729    -568.8295    -828.2565
PLG4     2082.0000    1507.9855   -1485.9855    -574.6875    -835.7396
PLG4     2092.0000    1511.0615   -1489.0615    -580.5711    -843.2176
PLG4     2102.0000    1514.1018   -1492.1018    -586.4768    -850.6928
PLG4     2112.0000    1517.1414   -1495.1414    -592.3898    -858.1626
PLG4     2122.0000    1520.2091   -1498.2091    -598.3174    -865.6093
PLG4     2132.0000    1523.3134   -1501.3134    -604.2693    -873.0212
PLG4     2142.0000    1526.4467   -1504.4467    -610.2373    -880.4081
PLG4     2152.0000    1529.6064   -1507.6064    -616.2036    -887.7851
PLG4     2162.0000    1532.7861   -1510.7861    -622.1592    -895.1620
PLG4     2172.0000    1535.9865   -1513.9865    -628.1080    -902.5357
PLG4     2182.0000    1539.1918   -1517.1918    -634.0614    -909.9034
PLG4     2192.0000    1542.3929   -1520.3929    -640.0599    -917.2361
PLG4     2202.0000    1545.5900   -1523.5900    -646.1226    -924.5178
PLG4     2212.0000    1548.7489   -1526.7489    -652.2358    -931.7737
PLG4     2222.0000    1551.8781   -1529.8781    -658.3834    -939.0137
PLG4     2232.0000    1555.0171   -1533.0171    -664.5306    -946.2495
PLG4     2242.0000    1558.1670   -1536.1670    -670.6674    -953.4896
PLG4     2252.0000    1561.3169   -1539.3169    -676.8224    -960.7141
PLG4     2262.0000    1564.4618   -1542.4618    -683.0226    -967.9020
PLG4     2272.0000    1567.6050   -1545.6050    -689.2451    -975.0715
PLG4     2282.0000    1570.8011   -1548.8011    -695.4384    -982.2427
PLG4     2292.0000    1574.0906   -1552.0906    -701.5851    -989.4118
PLG4     2302.0000    1577.4517   -1555.4517    -707.7031    -996.5724
PLG4     2312.0000    1580.8365   -1558.8365    -713.8060   -1003.7345
PLG4     2322.0000    1584.2338   -1562.2338    -719.8886   -1010.9081
PLG4     2332.0000    1587.6802   -1565.6802    -725.9427   -1018.0823
PLG4     2342.0000    1591.1838   -1569.1838    -731.9725   -1025.2493
PLG4     2352.0000    1594.7496   -1572.7496    -737.9816   -1032.4030
PLG4     2362.0000    1598.3561   -1576.3561    -743.9807   -1039.5447
PLG4     2372.0000    1601.9983   -1579.9983    -749.9520   -1046.6914
PLG4     2382.0000    1605.6820   -1583.6820    -755.8824   -1053.8511
PLG4     2392.0000    1609.4038   -1587.4038    -761.7950   -1061.0057
PLG4     2402.0000    1613.1968   -1591.1968    -767.7034   -1068.1263
PLG4     2412.0000    1617.1024   -1595.1024    -773.6238   -1075.1757
PLG4     2422.0000    1621.2633   -1599.2633    -779.5565   -1082.0658
PLG4     2432.0000    1625.7788   -1603.7788    -785.4636   -1088.7520
PLG4     2442.0000    1630.6350   -1608.6350    -791.3293   -1095.2324
PLG4     2452.0000    1635.8387   -1613.8387    -797.1417   -1101.4872
PLG4     2462.0000    1641.3499   -1619.3499    -802.8730   -1107.5510
PLG4     2472.0000    1647.0247   -1625.0247    -808.5522   -1113.5127
PLG4     2482.0000    1652.7889   -1630.7889    -814.2142   -1119.4045
PLG4     2492.0000    1658.6794   -1636.6794    -819.8559   -1125.1899
PLG4     2502.0000    1664.6550   -1642.6550    -825.4909   -1130.8943
PLG4     2512.0000    1670.7003   -1648.7003    -831.1636   -1136.4863
PLG4     2522.0000    1676.9204   -1654.9204    -836.8625   -1141.8549
PLG4     2532.0000    1683.3408   -1661.3408    -842.5297   -1147.0179
PLG4     2542.0000    1689.8539   -1667.8539    -848.1680   -1152.0964
PLG4     2552.0000    1696.4642   -1674.4642    -853.7545   -1157.1053
PLG4     2562.0000    1703.2297   -1681.2297    -859.2483   -1162.0088
PLG4     2572.0000    1710.1025   -1688.1025    -864.6642   -1166.8495
PLG4     2582.0000    1717.0597   -1695.0597    -870.0202   -1171.6359
PLG4     2592.0000    1724.1350   -1702.1350    -875.3335   -1176.2947
PLG4     2602.0000    1731.3010   -1709.3010    -880.6296   -1180.8333
PLG4     2612.0000    1738.5126   -1716.5126    -885.9315   -1185.2922
PLG4     2622.0000    1745.7615   -1723.7615    -891.2397   -1189.6827
PLG4     2632.0000    1753.0559   -1731.0559    -896.5198   -1194.0315
PLG4     2642.0000    1760.4708   -1738.4708    -901.7283   -1198.2605
PLG4     2652.0000    1768.0035   -1746.0035    -906.8626   -1202.3710
PLG4     2662.0000    1775.5769   -1753.5769    -911.9479   -1206.4678
PLG4     2672.0000    1783.1696   -1761.1696    -916.9879   -1210.5848
PLG4     2682.0000    1790.8164   -1768.8164    -921.9554   -1214.6893
PLG4     2692.0000    1798.5652   -1776.5652    -926.8596   -1218.6770
