            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:53:20 2007


PLG1  UWI: NO 6608/10-E-3 BH         
PLG2  Common: 6608/10-E-3 BH                                                                  
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      400.7010     400.7010    -376.7010       0.0000       0.0000
PLG4      422.0007     422.0006    -398.0006      -0.0435       0.0099
PLG4      452.0010     452.0007    -428.0007      -0.1166      -0.0617
PLG4      482.0010     481.9979    -457.9979       0.0082      -0.4214
PLG4      512.0010     511.9920    -487.9920       0.2674      -0.9590
PLG4      542.0010     541.9866    -517.9866       0.5528      -1.4440
PLG4      572.0010     571.9818    -547.9818       0.8542      -1.8937
PLG4      602.0013     601.9476    -577.9476       1.2739      -3.1815
PLG4      632.0013     631.8470    -607.8470       1.7200      -5.5878
PLG4      662.0013     661.7034    -637.7034       1.6948      -8.5095
PLG4      692.0013     691.4866    -667.4866       0.8612     -11.9969
PLG4      722.0013     721.1312    -697.1312      -0.7739     -16.2876
PLG4      752.0016     750.5314    -726.5314      -3.1623     -21.7387
PLG4      782.0016     779.6555    -755.6555      -6.0902     -28.3068
PLG4      812.0016     808.6344    -784.6344      -9.3953     -35.3272
PLG4      822.0015     818.2684    -794.2684     -10.5966     -37.7227
PLG4      832.0017     827.8805    -803.8805     -11.8307     -40.1903
PLG4      842.0016     837.4780    -813.4780     -13.0965     -42.6971
PLG4      852.0018     847.0479    -823.0479     -14.4268     -45.2753
PLG4      862.0017     856.5800    -832.5800     -15.8375     -47.9488
PLG4      872.0016     866.0755    -842.0755     -17.3331     -50.7047
PLG4      882.0018     875.5112    -851.5112     -18.9721     -53.5822
PLG4      892.0017     884.8722    -860.8722     -20.7652     -56.6073
PLG4      902.0020     894.1639    -870.1639     -22.6596     -59.7817
PLG4      912.0018     903.3837    -879.3837     -24.6238     -63.1183
PLG4      922.0018     912.5221    -888.5221     -26.6553     -66.6335
PLG4      932.0019     921.5707    -897.5707     -28.7537     -70.3373
PLG4      942.0018     930.5374    -906.5374     -30.8882     -74.2154
