            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:53:38 2007


PLG1  UWI: NO 6608/10-E-3 CHT2       
PLG2  Common: 6608/10-E-3 CHT2                                                                
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      400.6999     400.6999    -376.6999       0.0000       0.0000
PLG4      400.7000     400.7000    -376.7000       0.0000       0.0000
PLG4      422.0000     421.9999    -397.9999      -0.0435       0.0099
PLG4      452.0000     451.9996    -427.9996      -0.1527      -0.0655
PLG4      482.0000     481.9967    -457.9967      -0.0901      -0.4473
PLG4      512.0000     511.9908    -487.9908       0.1690      -0.9850
PLG4      542.0000     541.9855    -517.9855       0.4566      -1.4707
PLG4      572.0000     571.9806    -547.9806       0.7579      -1.9209
PLG4      602.0000     601.9457    -577.9457       1.2905      -3.1709
PLG4      632.0000     631.8449    -607.8449       1.7548      -5.5775
PLG4      662.0000     661.6999    -637.6999       1.7573      -8.5134
PLG4      692.0000     691.4816    -667.4816       0.9639     -12.0225
PLG4      722.0000     721.1259    -697.1259      -0.6534     -16.3219
PLG4      752.0000     750.5257    -726.5257      -3.0305     -21.7784
PLG4      782.0000     779.6498    -755.6498      -5.9612     -28.3454
PLG4      782.0010     779.6508    -755.6508      -5.9613     -28.3456
PLG4      812.0000     808.6282    -784.6282      -9.2638     -35.3687
PLG4      822.0000     818.2623    -794.2623     -10.4653     -37.7643
PLG4      832.0010     827.8751    -803.8751     -11.6994     -40.2320
PLG4      842.0010     837.4727    -813.4727     -12.9652     -42.7389
PLG4      851.9990     847.0406    -823.0406     -14.2949     -45.3168
PLG4      861.9990     856.5727    -832.5727     -15.7054     -47.9904
PLG4      872.0000     866.0692    -842.0692     -17.2008     -50.7469
PLG4      882.0000     875.5046    -851.5046     -18.8385     -53.6251
PLG4      892.0010     884.8666    -860.8666     -20.6315     -56.6508
PLG4      902.0010     894.1581    -870.1581     -22.5260     -59.8251
PLG4      911.9990     903.3762    -879.3762     -24.4901     -63.1609
PLG4      921.9990     912.5146    -888.5146     -26.5220     -66.6760
PLG4      932.0000     921.5640    -897.5640     -28.6210     -70.3799
PLG4      942.0000     930.5307    -906.5307     -30.7560     -74.2578
PLG4      952.0010     939.4316    -915.4316     -32.8928     -78.2858
PLG4      962.0010     948.2692    -924.2692     -34.9933     -82.4669
PLG4      971.9990     957.0402    -933.0402     -37.0332     -86.8106
PLG4      981.9990     965.7475    -941.7475     -39.0364     -91.3014
PLG4      992.0000     974.3866    -950.3866     -41.0469     -95.9210
PLG4     1002.0000     982.9537    -958.9537     -43.0933    -100.6555
PLG4     1012.0010     991.4488    -967.4488     -45.1795    -105.5031
PLG4     1022.0010     999.8624    -975.8624     -47.3133    -110.4686
PLG4     1032.0010    1008.1911    -984.1911     -49.5078    -115.5495
PLG4     1041.9990    1016.4351    -992.4351     -51.7629    -120.7370
PLG4     1051.9990    1024.6085   -1000.6085     -54.0745    -126.0143
PLG4     1062.0000    1032.7153   -1008.7153     -56.4533    -131.3659
PLG4     1072.0000    1040.7581   -1016.7581     -58.9092    -136.7773
PLG4     1082.0010    1048.7556   -1024.7556     -61.4298    -142.2274
PLG4     1092.0010    1056.7214   -1032.7214     -64.0304    -147.6847
PLG4     1101.9990    1064.6666   -1040.6666     -66.7280    -153.1212
PLG4     1111.9990    1072.5991   -1048.5991     -69.5022    -158.5415
PLG4     1122.0000    1080.5281   -1056.5281     -72.3355    -163.9380
PLG4     1132.0000    1088.4722   -1064.4722     -75.2103    -169.2883
PLG4     1142.0000    1096.4327   -1072.4327     -78.1163    -174.5973
PLG4     1152.0000    1104.3843   -1080.3843     -81.0553    -179.9015
PLG4     1162.0000    1112.2965   -1088.2965     -84.0559    -185.2300
PLG4     1172.0000    1120.1534   -1096.1534     -87.1466    -190.5886
PLG4     1182.0000    1127.9523   -1103.9523     -90.3393    -195.9723
PLG4     1192.0000    1135.7034   -1111.7034     -93.6715    -201.3402
PLG4     1202.0000    1143.4329   -1119.4329     -97.1441    -206.6499
PLG4     1212.0000    1151.1396   -1127.1396    -100.7111    -211.9303
PLG4     1222.0000    1158.7804   -1134.7804    -104.3822    -217.2350
PLG4     1232.0000    1166.3085   -1142.3085    -108.2021    -222.5953
PLG4     1242.0000    1173.7041   -1149.7041    -112.1692    -228.0325
PLG4     1252.0000    1180.9757   -1156.9757    -116.2475    -233.5541
PLG4     1262.0000    1188.1228   -1164.1228    -120.4116    -239.1734
PLG4     1272.0000    1195.1473   -1171.1473    -124.6495    -244.8912
PLG4     1282.0000    1202.0889   -1178.0889    -128.9745    -250.6452
PLG4     1292.0000    1209.0468   -1185.0468    -133.3988    -256.3030
PLG4     1302.0000    1216.1140   -1192.1140    -137.7835    -261.8549
PLG4     1312.0000    1223.3000   -1199.3000    -141.9786    -267.4008
