            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:55:14 2007


PLG1  UWI: NO 6608/10-F-2 H          
PLG2  Common: 6608/10-F-2 H                                                                   
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      22.0000       0.0000       0.0000
PLG4      403.0000     403.0000    -381.0000       0.0000       0.0000
PLG4      474.0000     473.9751    -451.9751       0.9556       1.3196
PLG4      502.3200     502.2769    -480.2769       1.6326       2.0523
PLG4      530.7400     530.6873    -508.6873       2.3316       2.2174
PLG4      559.1300     559.0598    -537.0598       3.1150       1.6599
PLG4      587.8600     587.7336    -565.7336       4.1398       0.2123
PLG4      616.5200     616.2743    -594.2743       5.3646      -2.0810
PLG4      644.8800     644.4805    -622.4805       6.6051      -4.7559
PLG4      673.6200     673.0620    -651.0620       7.9865      -7.4345
PLG4      702.1800     701.4811    -679.4811       9.3761      -9.9006
PLG4      730.8000     730.0090    -708.0090      10.5357     -11.8697
PLG4      758.9900     758.1464    -736.1464      11.4673     -13.3131
PLG4      787.7200     786.8552    -764.8552      12.1431     -14.1273
PLG4      816.6100     815.7430    -793.7430      12.4055     -14.3476
PLG4      845.2200     844.3528    -822.3528      12.4738     -14.3628
PLG4      873.9300     873.0626    -851.0626      12.4675     -14.2482
PLG4      902.4600     901.5922    -879.5922      12.4283     -14.0965
PLG4      931.2200     930.3519    -908.3519      12.5064     -14.0395
PLG4      959.5700     958.7017    -936.7017      12.5871     -13.9899
PLG4      988.1500     987.2815    -965.2815      12.5661     -13.8777
PLG4     1016.7800    1015.9113    -993.9113      12.5784     -13.7554
PLG4     1045.3400    1044.4708   -1022.4708      12.6428     -13.6257
PLG4     1073.7500    1072.8805   -1050.8805      12.7149     -13.5161
PLG4     1102.1700    1101.3000   -1079.3000      12.7670     -13.3675
PLG4     1130.6500    1129.7793   -1107.7793      12.8240     -13.1694
PLG4     1159.0200    1158.1488   -1136.1488      12.8719     -13.0080
PLG4     1187.6100    1186.7384   -1164.7384      12.9301     -12.8867
PLG4     1216.1100    1215.2382   -1193.2382      12.9630     -12.7840
PLG4     1244.7200    1243.8478   -1221.8478      12.8980     -12.6469
PLG4     1269.0000    1268.1273   -1246.1273      12.7692     -12.5637
PLG4     1374.5601    1373.5737   -1351.5737      15.4635     -15.6546
PLG4     1402.8300    1401.6743   -1379.6743      17.7081     -17.7344
PLG4     1431.3300    1429.8253   -1407.8253      20.8705     -20.8365
PLG4     1459.8101    1457.7496   -1435.7496      24.6602     -24.9457
PLG4     1488.1801    1485.3956   -1463.3956      29.2169     -29.3869
PLG4     1516.7700    1513.1836   -1491.1836      34.5719     -33.4438
PLG4     1545.2700    1540.8384   -1518.8384      40.5346     -36.8872
PLG4     1573.8800    1568.5386   -1546.5386      47.0389     -39.8686
PLG4     1602.4800    1596.1753   -1574.1753      53.9180     -42.4825
PLG4     1630.3800    1622.9734   -1600.9734      61.3666     -44.6386
PLG4     1659.0699    1650.2283   -1628.2283      70.1790     -46.2081
PLG4     1687.5900    1677.0441   -1655.0441      79.8456     -47.0928
PLG4     1716.1400    1703.7412   -1681.7412      89.9549     -46.9929
PLG4     1744.3199    1730.0629   -1708.0629     100.0063     -46.5229
PLG4     1773.0900    1756.8107   -1734.8107     110.5682     -45.7709
PLG4     1801.7600    1783.3099   -1761.3099     121.3644     -43.9991
PLG4     1829.7600    1809.1375   -1787.1375     131.9878     -41.9814
PLG4     1858.0000    1835.1730   -1813.1730     142.7384     -39.9642
PLG4     1886.6400    1861.5874   -1839.5874     153.6366     -38.0313
PLG4     1915.2800    1888.0067   -1866.0067     164.5230     -36.0978
PLG4     1945.7800    1916.1705   -1894.1705     176.0503     -34.0614
PLG4     1973.4000    1941.6361   -1919.6361     186.4801     -31.7362
PLG4     2001.9000    1967.8966   -1945.8966     197.1830     -28.8983
PLG4     2030.4399    1994.2388   -1972.2388     207.8146     -26.1478
PLG4     2058.4600    2020.0798   -1998.0798     218.2656     -23.2959
PLG4     2087.3799    2046.7511   -2024.7511     229.1180     -20.6094
PLG4     2115.3201    2072.5437   -2050.5437     239.5186     -17.9277
PLG4     2143.0500    2098.1633   -2076.1633     249.7768     -15.2184
PLG4     2171.4800    2124.5068   -2102.5068     260.1016     -12.4536
PLG4     2200.1899    2151.1997   -2129.1997     270.2661      -9.5509
PLG4     2228.3601    2177.4241   -2155.4241     280.1920      -6.8466
PLG4     2254.6101    2201.8865   -2179.8865     289.3310      -4.1789
PLG4     2285.4099    2230.6106   -2208.6106     300.0163      -1.1223
PLG4     2313.8899    2257.1982   -2235.1982     309.8770       1.5180
PLG4     2342.5701    2284.0217   -2262.0217     319.6369       4.3108
PLG4     2371.3899    2311.0005   -2289.0005     329.3760       7.1164
PLG4     2400.0200    2337.8140   -2315.8140     339.1259       9.4872
PLG4     2428.4299    2364.4421   -2342.4421     348.8117      11.5473
PLG4     2457.1001    2391.3430   -2369.3430     358.5176      13.5753
PLG4     2485.8000    2418.2874   -2396.2874     368.2300      15.4089
PLG4     2514.0300    2444.8201   -2422.8201     377.6844      17.2918
PLG4     2542.2700    2471.4097   -2449.4097     386.9673      19.3688
PLG4     2571.9900    2499.4500   -2477.4500     396.5667      21.5754
PLG4     2598.8401    2524.8391   -2502.8391     405.1247      23.3239
PLG4     2628.5701    2552.9897   -2530.9897     414.5267      25.0613
PLG4     2657.2000    2580.1338   -2558.1338     423.4646      26.7887
PLG4     2685.8601    2607.3376   -2585.3376     432.3362      28.4170
PLG4     2714.4900    2634.5454   -2612.5454     441.0995      30.0298
PLG4     2772.5601    2689.8484   -2667.8484     458.5250      33.1979
