            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:55:43 2007


PLG1  UWI: NO 6608/10-K-1 H          
PLG2  Common: 6608/10-K-1 H                                                                   
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      24.0000       0.0000       0.0000
PLG4      395.4999     395.4999    -371.4999       0.0000       0.0000
PLG4      395.5000     395.5000    -371.5000       0.0000       0.0000
PLG4      420.0000     419.9997    -395.9997      -0.0932       0.0314
PLG4      450.0000     449.9983    -425.9983      -0.3599       0.1453
PLG4      480.0000     479.9951    -455.9951      -0.7310       0.3740
PLG4      510.0000     509.9904    -485.9904      -1.1438       0.7029
PLG4      540.0000     539.9858    -515.9858      -1.5195       1.0708
PLG4      570.0000     569.9811    -545.9811      -1.8701       1.4629
PLG4      600.0000     599.9771    -575.9771      -2.2106       1.8166
PLG4      630.0000     629.9744    -605.9744      -2.5387       2.0494
PLG4      660.0000     659.9727    -635.9727      -2.8202       2.1756
PLG4      690.0000     689.9718    -665.9718      -3.0312       2.2612
PLG4      720.0000     719.9714    -695.9714      -3.1669       2.2963
PLG4      750.0000     749.9714    -725.9714      -3.1916       2.2738
PLG4      780.0000     779.9713    -755.9713      -3.1540       2.2862
PLG4      810.0000     809.9713    -785.9713      -3.1656       2.3273
PLG4      840.0000     839.9712    -815.9712      -3.1713       2.3150
PLG4      870.0000     869.9711    -845.9711      -3.1382       2.2482
PLG4      900.0000     899.9708    -875.9708      -3.0788       2.1488
PLG4      930.0000     929.9705    -905.9705      -2.9753       2.0800
PLG4      960.0000     959.9703    -935.9703      -2.8764       2.0284
PLG4      990.0000     989.9702    -965.9702      -2.8731       2.0574
PLG4     1020.0000    1019.9690    -995.9690      -3.0665       2.2243
PLG4     1050.0000    1049.9563   -1025.9563      -3.2339       3.0080
PLG4     1080.0000    1079.8746   -1055.8746      -3.2816       5.1704
PLG4     1110.0000    1109.6814   -1085.6814      -3.4622       8.5553
PLG4     1140.0000    1139.3866   -1115.3866      -3.9077      12.7205
PLG4     1170.0000    1168.9883   -1144.9883      -4.5287      17.5494
